 "command";"executable";"simtype";"ncores";"width";"depth";"end time" ;"branch-misses";"branch-misses (of all branches          (50.90%))";"branches";"branches (M/sec                    (51.33%))";"context-switches";"context-switches (K/sec)";"cpu-migrations";"cpu-migrations (K/sec)";"cycles";"cycles (GHz                      (49.99%))";"instructions";"instructions (insns per cycle)";"page-faults";"page-faults (M/sec)";"stalled-cycles-backend";"stalled-cycles-backend (backend  cycles idle     (50.19%))";"stalled-cycles-frontend";"stalled-cycles-frontend (frontend cycles idle     (50.41%))";"task-clock (msec)";"task-clock (CPUs utilized)";"time-elapsed (seconds)"
"./build/Benchmark/adevs_devstone cpdevs -c 4  -w 10 -d 10 -t 500000";"adevs_devstone";"cpdevs";4;10;10;500000;3702609.0;0.0187;198506403.0;902.433;105.0;0.477;4.0;0.018;711559775.0;3.235;928311570.0;1.3;879.0;0.004;226201430.0;0.3179;55767113.0;0.0784;219.968013;3.073;0.071590245
"./build/Benchmark/adevs_devstone cpdevs -c 4  -w 10 -d 10 -t 500000";"adevs_devstone";"cpdevs";4;10;10;500000;3440378.0;0.019;181180796.0;859.382;85.0;0.403;5.0;0.024;670362902.0;3.18;868063105.0;1.29;843.0;0.004;228661364.0;0.3411;45002874.0;0.06709999999999999;210.826794;3.054;0.069025348
"./build/Benchmark/adevs_devstone cpdevs -c 4  -w 10 -d 10 -t 500000";"adevs_devstone";"cpdevs";4;10;10;500000;3897178.0;0.019299999999999998;202352148.0;838.779;83.0;0.344;3.0;0.012;795615960.0;3.298;910060199.0;1.14;879.0;0.004;301077629.0;0.3784;54697722.0;0.0687;241.246053;3.117;0.07739561
"./build/Benchmark/adevs_devstone cpdevs -c 4  -w 10 -d 10 -t 500000";"adevs_devstone";"cpdevs";4;10;10;500000;3865579.0;0.0192;201027673.0;1070.413;43.0;0.229;4.0;0.021;592481385.0;3.155;922935777.0;1.56;916.0;0.005;119325334.0;0.2014;55206318.0;0.0932;187.803866;2.944;0.063801646
"./build/Benchmark/adevs_devstone cpdevs -c 4  -w 10 -d 10 -t 500000";"adevs_devstone";"cpdevs";4;10;10;500000;4020736.0;0.021;191443617.0;1032.844;96.0;0.518;4.0;0.022;587101055.0;3.167;903059505.0;1.54;929.0;0.005;119211120.0;0.20309999999999997;48011384.0;0.0818;185.355861;2.909;0.063723747
"./build/Benchmark/adevs_devstone cpdevs -c 4  -w 10 -d 10 -t 500000";"adevs_devstone";"cpdevs";4;10;10;500000;3566495.0;0.0199;179561488.0;987.286;91.0;0.5;4.0;0.022;584393620.0;3.213;835350477.0;1.43;901.0;0.005;145986681.0;0.2498;39956256.0;0.0684;181.87382;2.806;0.064821975
"./build/Benchmark/adevs_devstone cpdevs -c 4  -w 15 -d 15 -t 500000";"adevs_devstone";"cpdevs";4;15;15;500000;15739099.0;0.0232;677288421.0;1178.144;207.0;0.36;3.0;0.005;2008052399.0;3.493;3067210862.0;1.53;1287.0;0.002;328346248.0;0.1635;230041487.0;0.11460000000000001;574.877455;2.547;0.225746402
"./build/Benchmark/adevs_devstone cpdevs -c 4  -w 15 -d 15 -t 500000";"adevs_devstone";"cpdevs";4;15;15;500000;16531229.0;0.0253;653465857.0;1139.288;221.0;0.385;3.0;0.005;1969386788.0;3.434;3018272790.0;1.53;1298.0;0.002;327189768.0;0.1661;204804254.0;0.10400000000000001;573.574072;2.478;0.231485049
"./build/Benchmark/adevs_devstone cpdevs -c 4  -w 15 -d 15 -t 500000";"adevs_devstone";"cpdevs";4;15;15;500000;16329407.0;0.026000000000000002;628363472.0;1117.308;221.0;0.393;3.0;0.005;1919568509.0;3.413;2918340383.0;1.52;1281.0;0.002;319361354.0;0.1664;203338863.0;0.1059;562.390683;2.472;0.227511088
"./build/Benchmark/adevs_devstone cpdevs -c 4  -w 15 -d 15 -t 500000";"adevs_devstone";"cpdevs";4;15;15;500000;15367612.0;0.022400000000000003;686874649.0;1212.419;215.0;0.38;3.0;0.005;1951317836.0;3.444;3126523861.0;1.6;1261.0;0.002;314590462.0;0.1612;184369317.0;0.09449999999999999;566.532518;2.518;0.224988489
"./build/Benchmark/adevs_devstone cpdevs -c 4  -w 15 -d 15 -t 500000";"adevs_devstone";"cpdevs";4;15;15;500000;16516181.0;0.025699999999999997;643506856.0;1134.923;218.0;0.384;5.0;0.009;1925118700.0;3.395;2993175152.0;1.55;1298.0;0.002;308838200.0;0.1604;218960327.0;0.1137;567.004641;2.486;0.228108352
"./build/Benchmark/adevs_devstone cpdevs -c 4  -w 15 -d 15 -t 500000";"adevs_devstone";"cpdevs";4;15;15;500000;16493475.0;0.0246;671039202.0;1182.979;214.0;0.377;4.0;0.007;1984861786.0;3.499;3078571934.0;1.55;1283.0;0.002;315425208.0;0.1589;206770952.0;0.1042;567.245036;2.533;0.223913935
"./build/Benchmark/adevs_devstone cpdevs -c 4  -w 15 -d 15 -t 500000";"adevs_devstone";"cpdevs";4;15;15;500000;16033961.0;0.0256;627251807.0;1103.436;200.0;0.352;4.0;0.007;1932368898.0;3.399;2930128226.0;1.52;1282.0;0.002;340955411.0;0.1764;211725098.0;0.1096;568.453095;2.484;0.228887417
"./build/Benchmark/adevs_devstone cpdevs -c 4  -w 15 -d 15 -t 500000";"adevs_devstone";"cpdevs";4;15;15;500000;16037272.0;0.023399999999999997;684842652.0;1189.558;218.0;0.379;5.0;0.009;2000214741.0;3.474;3109624230.0;1.55;1291.0;0.002;335643279.0;0.1678;188853720.0;0.0944;575.71196;2.494;0.230818649
"./build/Benchmark/adevs_devstone cpdevs -c 4  -w 15 -d 15 -t 500000";"adevs_devstone";"cpdevs";4;15;15;500000;15831026.0;0.0246;644027853.0;1154.433;217.0;0.389;3.0;0.005;1900506519.0;3.407;2973279319.0;1.56;1289.0;0.002;315149364.0;0.16579999999999998;177207520.0;0.0932;557.87382;2.487;0.224274909
"./build/Benchmark/adevs_devstone cpdevs -c 4  -w 15 -d 15 -t 500000";"adevs_devstone";"cpdevs";4;15;15;500000;16481257.0;0.0252;652948984.0;1164.326;211.0;0.376;3.0;0.005;1918704591.0;3.421;3022605846.0;1.58;1300.0;0.002;306257323.0;0.15960000000000002;180662579.0;0.0942;560.795545;2.461;0.227914986
"./build/Benchmark/adevs_devstone cpdevs -c 4  -w 15 -d 15 -t 500000";"adevs_devstone";"cpdevs";4;15;15;500000;16477167.0;0.024700000000000003;667276791.0;1203.915;181.0;0.327;3.0;0.005;1927996012.0;3.479;3045214835.0;1.58;1298.0;0.002;302771479.0;0.157;193052060.0;0.1001;554.255793;2.505;0.221295646
"./build/Benchmark/adevs_devstone cpdevs -c 4  -w 15 -d 15 -t 500000";"adevs_devstone";"cpdevs";4;15;15;500000;16324046.0;0.024700000000000003;661837339.0;1154.945;194.0;0.339;3.0;0.005;1939514067.0;3.385;3060302584.0;1.58;1288.0;0.002;334298770.0;0.1724;181478907.0;0.09359999999999999;573.046586;2.467;0.232290927
"./build/Benchmark/adevs_devstone cpdevs -c 4  -w 15 -d 15 -t 500000";"adevs_devstone";"cpdevs";4;15;15;500000;15730953.0;0.0242;649276302.0;1136.613;209.0;0.366;4.0;0.007;1971300706.0;3.451;2992800024.0;1.52;1282.0;0.002;342604192.0;0.17379999999999998;187511814.0;0.0951;571.237765;2.507;0.227887969
"./build/Benchmark/adevs_devstone cpdevs -c 4  -w 15 -d 15 -t 500000";"adevs_devstone";"cpdevs";4;15;15;500000;16905259.0;0.0256;661629677.0;1140.068;199.0;0.343;3.0;0.005;2000508797.0;3.447;3019963124.0;1.51;1282.0;0.002;324804221.0;0.1624;235421440.0;0.1177;580.342401;2.534;0.229047142
"./build/Benchmark/adevs_devstone cpdevs -c 4  -w 15 -d 15 -t 500000";"adevs_devstone";"cpdevs";4;15;15;500000;16656313.0;0.0252;661442381.0;1166.862;205.0;0.362;4.0;0.007;1967812618.0;3.471;3009035992.0;1.53;1292.0;0.002;317919535.0;0.1616;197853229.0;0.1005;566.855845;2.487;0.227950119
