 "command";"executable";"simtype";"ncores";"width";"end time" ;"branch-misses";"branch-misses (of all branches          (50.44%))";"branches";"branches (M/sec                    (52.04%))";"context-switches";"context-switches (K/sec)";"cpu-migrations";"cpu-migrations (K/sec)";"cycles";"cycles (GHz                      (48.85%))";"instructions";"instructions (insns per cycle)";"page-faults";"page-faults (M/sec)";"stalled-cycles-backend";"stalled-cycles-backend (backend  cycles idle     (53.03%))";"stalled-cycles-frontend";"stalled-cycles-frontend (frontend cycles idle     (48.83%))";"task-clock (msec)";"task-clock (CPUs utilized)";"time-elapsed (seconds)"
"./build/Benchmark/dxexmachina_interconnect classic  -w 30 -t 1000000";"dxexmachina_interconnect";"classic";1;30;1000000;1132313.0;0.005;227820568.0;782.67;30.0;0.103;0.0;0.0;1020641710.0;3.506;1515902763.0;1.49;491.0;0.002;445219381.0;0.4362;10731746.0;0.0105;291.081194;0.998;0.291563983
"./build/Benchmark/dxexmachina_interconnect classic  -w 30 -t 1000000";"dxexmachina_interconnect";"classic";1;30;1000000;1095851.0;0.0049;225492320.0;778.825;30.0;0.104;0.0;0.0;1025099228.0;3.541;1515276400.0;1.48;492.0;0.002;443417521.0;0.4326;11176552.0;0.0109;289.529046;0.998;0.290183675
"./build/Benchmark/dxexmachina_interconnect classic  -w 30 -t 1000000";"dxexmachina_interconnect";"classic";1;30;1000000;1132271.0;0.005;227805175.0;779.24;31.0;0.106;0.0;0.0;1035716584.0;3.543;1505956165.0;1.45;493.0;0.002;445558654.0;0.4302;10113090.0;0.0098;292.342577;0.999;0.292602897
"./build/Benchmark/dxexmachina_interconnect classic  -w 30 -t 1000000";"dxexmachina_interconnect";"classic";1;30;1000000;7484832.0;0.0331;226094244.0;710.846;32.0;0.101;0.0;0.0;1134608025.0;3.567;1500642467.0;1.32;495.0;0.002;431379964.0;0.38020000000000004;70621196.0;0.0622;318.063735;0.999;0.318536483
"./build/Benchmark/dxexmachina_interconnect classic  -w 40 -t 1000000";"dxexmachina_interconnect";"classic";1;40;1000000;1912797.0;0.0048;398708652.0;699.018;57.0;0.1;0.0;0.0;2034163591.0;3.566;2654539617.0;1.3;566.0;0.992;1013684941.0;0.49829999999999997;17829934.0;0.0088;570.383708;1.0;0.570595395
"./build/Benchmark/dxexmachina_interconnect classic  -w 40 -t 1000000";"dxexmachina_interconnect";"classic";1;40;1000000;1909348.0;0.0048;397780983.0;693.286;58.0;0.101;0.0;0.0;2026379423.0;3.532;2662052047.0;1.31;566.0;0.986;1014620488.0;0.5007;17782188.0;0.0088;573.761999;1.0;0.573610772
"./build/Benchmark/dxexmachina_interconnect classic  -w 40 -t 1000000";"dxexmachina_interconnect";"classic";1;40;1000000;1559625.0;0.0039000000000000003;398785206.0;693.08;58.0;0.101;0.0;0.0;2061485971.0;3.583;2655907580.0;1.29;565.0;0.982;1033630482.0;0.5014;13562753.0;0.0066;575.381012;1.0;0.575468671
"./build/Benchmark/dxexmachina_interconnect classic  -w 40 -t 1000000";"dxexmachina_interconnect";"classic";1;40;1000000;13745232.0;0.0345;398234669.0;660.237;61.0;0.101;0.0;0.0;2147544511.0;3.56;2667376844.0;1.24;564.0;0.935;901276872.0;0.41969999999999996;158177948.0;0.0737;603.169577;1.0;0.60330571
"./build/Benchmark/dxexmachina_interconnect classic  -w 40 -t 1000000";"dxexmachina_interconnect";"classic";1;40;1000000;1804828.0;0.0045000000000000005;398721508.0;699.572;58.0;0.102;0.0;0.0;2033224177.0;3.567;2651030013.0;1.3;567.0;0.995;998078630.0;0.49090000000000006;20832832.0;0.0102;569.950432;1.0;0.569874145
"./build/Benchmark/dxexmachina_interconnect classic  -w 40 -t 1000000";"dxexmachina_interconnect";"classic";1;40;1000000;11176002.0;0.0281;398312069.0;646.937;64.0;0.104;0.0;0.0;2181509516.0;3.543;2660090566.0;1.22;564.0;0.916;1009168688.0;0.46259999999999996;100367142.0;0.046;615.688775;1.0;0.615901811
"./build/Benchmark/dxexmachina_interconnect classic  -w 40 -t 1000000";"dxexmachina_interconnect";"classic";1;40;1000000;2161312.0;0.0054;398286507.0;691.259;59.0;0.102;0.0;0.0;2057591556.0;3.571;2647377015.0;1.29;563.0;0.977;1022728722.0;0.4971;20267412.0;0.009899999999999999;576.175568;1.0;0.575899162
"./build/Benchmark/dxexmachina_interconnect classic  -w 40 -t 1000000";"dxexmachina_interconnect";"classic";1;40;1000000;1511045.0;0.0038;399247059.0;701.785;57.0;0.1;0.0;0.0;2028633333.0;3.566;2662479549.0;1.31;564.0;0.991;1010111987.0;0.4979;14311679.0;0.0070999999999999995;568.901991;1.0;0.569103275
"./build/Benchmark/dxexmachina_interconnect classic  -w 40 -t 1000000";"dxexmachina_interconnect";"classic";1;40;1000000;1533151.0;0.0038;398627085.0;707.209;60.0;0.106;0.0;0.0;2026810024.0;3.596;2650795382.0;1.31;562.0;0.997;1001765409.0;0.4943;13350315.0;0.0066;563.662359;1.0;0.563841545
"./build/Benchmark/dxexmachina_interconnect classic  -w 40 -t 1000000";"dxexmachina_interconnect";"classic";1;40;1000000;1505575.0;0.0038;398495620.0;706.886;58.0;0.103;0.0;0.0;2026923196.0;3.596;2652746437.0;1.31;566.0;0.001;1006301537.0;0.4965;13564172.0;0.0067;563.733825;1.0;0.563923976
"./build/Benchmark/dxexmachina_interconnect classic  -w 40 -t 1000000";"dxexmachina_interconnect";"classic";1;40;1000000;1530694.0;0.0038;398698322.0;704.475;58.0;0.102;0.0;0.0;2022389212.0;3.573;2656341226.0;1.31;564.0;0.997;1005046794.0;0.49700000000000005;13777139.0;0.0068000000000000005;565.951049;1.0;0.566090009
"./build/Benchmark/dxexmachina_interconnect classic  -w 40 -t 1000000";"dxexmachina_interconnect";"classic";1;40;1000000;14799493.0;0.037200000000000004;398319282.0;657.136;61.0;0.101;0.0;0.0;2165358335.0;3.572;2652215863.0;1.22;565.0;0.932;915643929.0;0.4229;138286754.0;0.0639;606.144508;1.0;0.605932997
"./build/Benchmark/dxexmachina_interconnect classic  -w 40 -t 1000000";"dxexmachina_interconnect";"classic";1;40;1000000;11837940.0;0.0297;398229927.0;669.27;61.0;0.103;0.0;0.0;2130025318.0;3.58;2645366599.0;1.24;564.0;0.948;938585604.0;0.44060000000000005;107770302.0;0.0506;595.021497;1.0;0.59517397
"./build/Benchmark/dxexmachina_interconnect classic  -w 40 -t 1000000";"dxexmachina_interconnect";"classic";1;40;1000000;12515919.0;0.0313;399440520.0;667.442;61.0;0.102;0.0;0.0;2137524838.0;3.572;2660289286.0;1.24;565.0;0.944;926632910.0;0.4335;115898541.0;0.0542;598.464924;1.0;0.598233857
"./build/Benchmark/dxexmachina_interconnect classic  -w 40 -t 1000000";"dxexmachina_interconnect";"classic";1;40;1000000;1492574.0;0.0037;399279598.0;693.694;58.0;0.101;0.0;0.0;2052237925.0;3.565;2659617450.0;1.3;565.0;0.982;1032441314.0;0.5031;14569211.0;0.0070999999999999995;575.584572;1.0;0.575768254
"./build/Benchmark/dxexmachina_interconnect classic  -w 50 -t 1000000";"dxexmachina_interconnect";"classic";1;50;1000000;19841240.0;0.0321;617730723.0;632.294;98.0;0.1;0.0;0.0;3497848983.0;3.58;4133134307.0;1.18;624.0;0.639;1625073304.0;0.4646;176142047.0;0.0504;976.967158;1.0;0.976552215
"./build/Benchmark/dxexmachina_interconnect classic  -w 50 -t 1000000";"dxexmachina_interconnect";"classic";1;50;1000000;22664028.0;0.0366;618898422.0;632.617;99.0;0.101;0.0;0.0;3497394782.0;3.575;4127074659.0;1.18;625.0;0.639;1562353246.0;0.44670000000000004;214592488.0;0.061399999999999996;978.313811;1.001;0.977798994
"./build/Benchmark/dxexmachina_interconnect classic  -w 50 -t 1000000";"dxexmachina_interconnect";"classic";1;50;1000000;16496241.0;0.026699999999999998;618224141.0;640.733;98.0;0.102;0.0;0.0;3452486345.0;3.578;4125659582.0;1.19;621.0;0.644;1635527323.0;0.47369999999999995;150489071.0;0.0436;964.870381;1.001;0.964156198
"./build/Benchmark/dxexmachina_interconnect classic  -w 50 -t 1000000";"dxexmachina_interconnect";"classic";1;50;1000000;20493731.0;0.0332;617847243.0;629.586;100.0;0.102;0.0;0.0;3517954404.0;3.585;4135671658.0;1.18;625.0;0.637;1615499759.0;0.4592;195915457.0;0.0557;981.355455;1.001;0.980835279
"./build/Benchmark/dxexmachina_interconnect classic  -w 50 -t 1000000";"dxexmachina_interconnect";"classic";1;50;1000000;19928490.0;0.0322;619197050.0;634.083;98.0;0.1;0.0;0.0;3486327729.0;3.57;4129129756.0;1.18;623.0;0.638;1620918839.0;0.46490000000000004;184070329.0;0.0528;976.522927;1.0;0.976071306
"./build/Benchmark/dxexmachina_interconnect classic  -w 50 -t 1000000";"dxexmachina_interconnect";"classic";1;50;1000000;1796400.0;0.0029;617183079.0;662.56;95.0;0.102;0.0;0.0;3350527981.0;3.597;4118688689.0;1.23;628.0;0.674;1786409588.0;0.5332;16063587.0;0.0048;931.512494;1.0;0.931202908
"./build/Benchmark/dxexmachina_interconnect classic  -w 50 -t 1000000";"dxexmachina_interconnect";"classic";1;50;1000000;19472678.0;0.0315;617817276.0;635.933;99.0;0.102;0.0;0.0;3486157247.0;3.588;4130010542.0;1.18;622.0;0.64;1608080344.0;0.46130000000000004;177504036.0;0.0509;971.513239;1.0;0.971157513
"./build/Benchmark/dxexmachina_interconnect classic  -w 50 -t 1000000";"dxexmachina_interconnect";"classic";1;50;1000000;1880280.0;0.003;618284336.0;658.201;94.0;0.1;0.0;0.0;3349573529.0;3.566;4130855226.0;1.23;622.0;0.662;1787926531.0;0.5338;17371128.0;0.0052;939.354409;1.0;0.938961763
"./build/Benchmark/dxexmachina_interconnect classic  -w 50 -t 1000000";"dxexmachina_interconnect";"classic";1;50;1000000;21222504.0;0.034300000000000004;618636788.0;638.126;100.0;0.103;0.0;0.0;3468843541.0;3.578;4131766896.0;1.19;623.0;0.643;1592945698.0;0.4592;195360695.0;0.056299999999999996;969.45905;1.001;0.968644341
"./build/Benchmark/dxexmachina_interconnect classic  -w 50 -t 1000000";"dxexmachina_interconnect";"classic";1;50;1000000;19136641.0;0.031;617871338.0;637.654;98.0;0.101;0.0;0.0;3466861392.0;3.578;4127971720.0;1.19;625.0;0.645;1602972770.0;0.46240000000000003;178180095.0;0.051399999999999994;968.976196;1.0;0.968595073
"./build/Benchmark/dxexmachina_interconnect classic  -w 50 -t 1000000";"dxexmachina_interconnect";"classic";1;50;1000000;2066295.0;0.0033;616969419.0;657.014;97.0;0.103;0.0;0.0;3361539605.0;3.58;4132964926.0;1.23;624.0;0.665;1791650550.0;0.5329999999999999;21702970.0;0.006500000000000001;939.050289;1.0;0.938731129
"./build/Benchmark/dxexmachina_interconnect classic  -w 50 -t 1000000";"dxexmachina_interconnect";"classic";1;50;1000000;1824335.0;0.0029;618592723.0;634.258;100.0;0.103;0.0;0.0;3492155396.0;3.581;4127492832.0;1.18;627.0;0.643;1926273229.0;0.5516;16789913.0;0.0048;975.30094;1.0;0.974821195
"./build/Benchmark/dxexmachina_interconnect classic  -w 50 -t 1000000";"dxexmachina_interconnect";"classic";1;50;1000000;18201601.0;0.029500000000000002;618003376.0;636.968;100.0;0.103;0.0;0.0;3467651781.0;3.574;4130258108.0;1.19;623.0;0.642;1641756461.0;0.47340000000000004;158839018.0;0.0458;970.226538;1.001;0.969483867
"./build/Benchmark/dxexmachina_interconnect classic  -w 50 -t 1000000";"dxexmachina_interconnect";"classic";1;50;1000000;1831815.0;0.003;617546983.0;662.302;94.0;0.101;0.0;0.0;3334195337.0;3.576;4134703382.0;1.24;622.0;0.667;1769838202.0;0.5307999999999999;17944724.0;0.0054;932.425251;1.0;0.932099539
"./build/Benchmark/dxexmachina_interconnect classic  -w 50 -t 1000000";"dxexmachina_interconnect";"classic";1;50;1000000;1811289.0;0.0029;617778176.0;663.08;94.0;0.101;0.0;0.0;3334327644.0;3.579;4121000104.0;1.24;622.0;0.668;1767979708.0;0.5302;17534204.0;0.0053;931.679605;1.0;0.931317034
"./build/Benchmark/dxexmachina_interconnect classic  -w 60 -t 1000000";"dxexmachina_interconnect";"classic";1;60;1000000;2261320.0;0.0026;885068002.0;629.902;148.0;0.105;0.0;0.0;5038474549.0;3.586;5915664245.0;1.17;636.0;0.453;2794630283.0;0.5547;20885146.0;0.0040999999999999995;1405.089231;1.001;1.404367775
"./build/Benchmark/dxexmachina_interconnect classic  -w 60 -t 1000000";"dxexmachina_interconnect";"classic";1;60;1000000;32711651.0;0.037000000000000005;885251838.0;590.715;149.0;0.099;0.0;0.0;5366137530.0;3.581;5907707241.0;1.1;642.0;0.428;2589215721.0;0.4825;306619939.0;0.0571;1498.610442;1.001;1.497510463
"./build/Benchmark/dxexmachina_interconnect classic  -w 60 -t 1000000";"dxexmachina_interconnect";"classic";1;60;1000000;23994778.0;0.0271;885092179.0;617.467;146.0;0.102;0.0;0.0;5136372612.0;3.583;5918761249.0;1.15;642.0;0.448;2534914757.0;0.4935;215917473.0;0.042;1433.423728;1.001;1.432116979
"./build/Benchmark/dxexmachina_interconnect classic  -w 60 -t 1000000";"dxexmachina_interconnect";"classic";1;60;1000000;2270530.0;0.0026;885365400.0;625.706;144.0;0.102;0.0;0.0;5074674346.0;3.586;5921222802.0;1.17;639.0;0.452;2836313070.0;0.5589;21416016.0;0.0042;1414.985332;1.001;1.413958562
"./build/Benchmark/dxexmachina_interconnect classic  -w 60 -t 1000000";"dxexmachina_interconnect";"classic";1;60;1000000;2398428.0;0.0027;885341666.0;633.665;141.0;0.101;0.0;0.0;5000017646.0;3.579;5922448184.0;1.18;639.0;0.457;2766868086.0;0.5534;22950569.0;0.0046;1397.175122;1.001;1.3958075
"./build/Benchmark/dxexmachina_interconnect classic  -w 60 -t 1000000";"dxexmachina_interconnect";"classic";1;60;1000000;28238702.0;0.0319;885722243.0;609.362;147.0;0.101;0.0;0.0;5210568616.0;3.585;5917360994.0;1.14;639.0;0.44;2497774533.0;0.4794;264795580.0;0.0508;1453.524571;1.001;1.452540235
"./build/Benchmark/dxexmachina_interconnect classic  -w 60 -t 1000000";"dxexmachina_interconnect";"classic";1;60;1000000;26007575.0;0.0294;885574711.0;611.562;145.0;0.1;0.0;0.0;5191182915.0;3.585;5919690071.0;1.14;640.0;0.442;2528213741.0;0.48700000000000004;244713513.0;0.0471;1448.053488;1.001;1.447017224
"./build/Benchmark/dxexmachina_interconnect classic  -w 60 -t 1000000";"dxexmachina_interconnect";"classic";1;60;1000000;23531355.0;0.026600000000000002;885101310.0;606.655;152.0;0.104;0.0;0.0;5225952573.0;3.582;5916737426.0;1.13;642.0;0.44;2615828370.0;0.5005;219771263.0;0.0421;1458.987457;1.001;1.458134933
"./build/Benchmark/dxexmachina_interconnect classic  -w 60 -t 1000000";"dxexmachina_interconnect";"classic";1;60;1000000;2567542.0;0.0029;884449294.0;632.016;145.0;0.104;0.0;0.0;5012755268.0;3.582;5909817548.0;1.18;642.0;0.459;2763577649.0;0.5513;29125123.0;0.0058;1399.410026;1.001;1.398547798
"./build/Benchmark/dxexmachina_interconnect classic  -w 60 -t 1000000";"dxexmachina_interconnect";"classic";1;60;1000000;2209488.0;0.0025;885422845.0;630.457;142.0;0.101;0.0;0.0;5034658078.0;3.585;5915524142.0;1.17;639.0;0.455;2786487878.0;0.5535;20559493.0;0.0040999999999999995;1404.414456;1.001;1.403436338
"./build/Benchmark/dxexmachina_interconnect classic  -w 60 -t 1000000";"dxexmachina_interconnect";"classic";1;60;1000000;28967467.0;0.0326;887508980.0;611.73;146.0;0.101;0.0;0.0;5193532253.0;3.58;5922311009.0;1.14;645.0;0.445;2520166335.0;0.4853;268886504.0;0.0518;1450.817931;1.001;1.449799345
"./build/Benchmark/dxexmachina_interconnect classic  -w 60 -t 1000000";"dxexmachina_interconnect";"classic";1;60;1000000;30903248.0;0.0349;885147791.0;605.328;149.0;0.102;1.0;0.001;5234063818.0;3.579;5929203412.0;1.13;639.0;0.437;2508179501.0;0.4792;282870654.0;0.054000000000000006;1462.262475;1.001;1.46134863
"./build/Benchmark/dxexmachina_interconnect classic  -w 60 -t 1000000";"dxexmachina_interconnect";"classic";1;60;1000000;32939593.0;0.037200000000000004;885680386.0;606.86;148.0;0.101;0.0;0.0;5225474846.0;3.58;5920401206.0;1.13;637.0;0.436;2460544210.0;0.47090000000000004;303663140.0;0.0581;1459.446716;1.001;1.458377094
"./build/Benchmark/dxexmachina_interconnect classic  -w 60 -t 1000000";"dxexmachina_interconnect";"classic";1;60;1000000;2249087.0;0.0025;884941141.0;634.231;141.0;0.101;0.0;0.0;4999404821.0;3.583;5924584949.0;1.19;640.0;0.459;2763741582.0;0.5528;22629095.0;0.0045000000000000005;1395.298728;1.001;1.394093467
"./build/Benchmark/dxexmachina_interconnect classic  -w 60 -t 1000000";"dxexmachina_interconnect";"classic";1;60;1000000;2230086.0;0.0025;885570109.0;630.427;142.0;0.101;0.0;0.0;5035718996.0;3.585;5918787857.0;1.18;640.0;0.456;2793700249.0;0.5548;20480990.0;0.0040999999999999995;1404.714868;1.001;1.403739458
"./build/Benchmark/dxexmachina_interconnect classic  -w 70 -t 1000000";"dxexmachina_interconnect";"classic";1;70;1000000;3953133.0;0.0033;1201473368.0;583.324;208.0;0.101;0.0;0.0;7411689803.0;3.598;8035687838.0;1.08;820.0;0.398;4348661910.0;0.5867;42414034.0;0.005699999999999999;2059.700936;1.001;2.057643055
"./build/Benchmark/dxexmachina_interconnect classic  -w 70 -t 1000000";"dxexmachina_interconnect";"classic";1;70;1000000;3179616.0;0.0027;1198893338.0;583.404;210.0;0.102;1.0;0.0;7363401920.0;3.583;8035041273.0;1.09;823.0;0.4;4320214977.0;0.5867;34348221.0;0.004699999999999999;2054.995175;1.001;2.052967231
"./build/Benchmark/dxexmachina_interconnect classic  -w 70 -t 1000000";"dxexmachina_interconnect";"classic";1;70;1000000;2657621.0;0.0022;1201797392.0;594.844;207.0;0.102;0.0;0.0;7252755805.0;3.59;8041512650.0;1.11;824.0;0.408;4224054124.0;0.5824;27074956.0;0.0037;2020.357664;1.001;2.018730064
"./build/Benchmark/dxexmachina_interconnect classic  -w 70 -t 1000000";"dxexmachina_interconnect";"classic";1;70;1000000;25013091.0;0.0208;1202357280.0;583.485;209.0;0.101;0.0;0.0;7392390170.0;3.587;8032702209.0;1.09;823.0;0.399;3974719431.0;0.5377000000000001;237690442.0;0.0322;2060.649443;1.001;2.058848138
"./build/Benchmark/dxexmachina_interconnect classic  -w 70 -t 1000000";"dxexmachina_interconnect";"classic";1;70;1000000;2653645.0;0.0022;1200675812.0;591.232;206.0;0.101;0.0;0.0;7281180222.0;3.585;8028652301.0;1.1;828.0;0.408;4248368010.0;0.5835;28036951.0;0.0039000000000000003;2030.801932;1.001;2.029111675
"./build/Benchmark/dxexmachina_interconnect classic  -w 70 -t 1000000";"dxexmachina_interconnect";"classic";1;70;1000000;2733034.0;0.0023;1201208776.0;595.564;204.0;0.101;0.0;0.0;7237032734.0;3.588;8031419646.0;1.11;823.0;0.408;4194222659.0;0.5796;27160013.0;0.0038;2016.925452;1.001;2.01521406
"./build/Benchmark/dxexmachina_interconnect classic  -w 70 -t 1000000";"dxexmachina_interconnect";"classic";1;70;1000000;23370529.0;0.0195;1201515444.0;586.918;208.0;0.102;0.0;0.0;7355156135.0;3.593;8035028095.0;1.09;822.0;0.402;3927670105.0;0.534;231123859.0;0.031400000000000004;2047.16061;1.001;2.045462875
"./build/Benchmark/dxexmachina_interconnect classic  -w 70 -t 1000000";"dxexmachina_interconnect";"classic";1;70;1000000;3372675.0;0.0028000000000000004;1201818420.0;594.084;209.0;0.103;0.0;0.0;7266830110.0;3.592;8032514623.0;1.11;823.0;0.407;4212593470.0;0.5797;34989734.0;0.0048;2022.977918;1.001;2.021118477
"./build/Benchmark/dxexmachina_interconnect classic  -w 70 -t 1000000";"dxexmachina_interconnect";"classic";1;70;1000000;2981440.0;0.0025;1202485616.0;592.53;208.0;0.102;0.0;0.0;7280270073.0;3.587;8038345405.0;1.1;824.0;0.406;4237520425.0;0.5821000000000001;30772684.0;0.0042;2029.40746;1.001;2.027701612
"./build/Benchmark/dxexmachina_interconnect classic  -w 70 -t 1000000";"dxexmachina_interconnect";"classic";1;70;1000000;2635435.0;0.0022;1201467168.0;600.766;201.0;0.101;0.0;0.0;7196213175.0;3.598;8030690988.0;1.12;821.0;0.411;4161191203.0;0.5782;26967520.0;0.0037;1999.892664;1.001;1.997769979
"./build/Benchmark/dxexmachina_interconnect classic  -w 70 -t 1000000";"dxexmachina_interconnect";"classic";1;70;1000000;2767129.0;0.0023;1201936833.0;592.933;206.0;0.102;0.0;0.0;7283635543.0;3.593;8036687899.0;1.1;821.0;0.405;4258140638.0;0.5846;30413099.0;0.0042;2027.104109;1.001;2.024968373
"./build/Benchmark/dxexmachina_interconnect classic  -w 70 -t 1000000";"dxexmachina_interconnect";"classic";1;70;1000000;45510009.0;0.0379;1200665036.0;543.223;223.0;0.101;0.0;0.0;7929370117.0;3.588;8028174950.0;1.01;821.0;0.371;4157264892.0;0.5243;425312918.0;0.0536;2210.259882;1.001;2.208303509
"./build/Benchmark/dxexmachina_interconnect classic  -w 70 -t 1000000";"dxexmachina_interconnect";"classic";1;70;1000000;3043413.0;0.0025;1200672623.0;574.23;212.0;0.101;0.0;0.0;7513280560.0;3.593;8028897429.0;1.07;822.0;0.393;4465568915.0;0.5943999999999999;33332068.0;0.0044;2090.927735;1.001;2.089160025
"./build/Benchmark/dxexmachina_interconnect classic  -w 70 -t 1000000";"dxexmachina_interconnect";"classic";1;70;1000000;15263741.0;0.0127;1201506312.0;585.115;208.0;0.101;0.0;0.0;7369123044.0;3.589;8030248627.0;1.09;821.0;0.4;4119188280.0;0.5589999999999999;141834895.0;0.0192;2053.452536;1.001;2.051711302
"./build/Benchmark/dxexmachina_interconnect classic  -w 70 -t 1000000";"dxexmachina_interconnect";"classic";1;70;1000000;38025657.0;0.0317;1201060806.0;568.579;217.0;0.103;0.0;0.0;7574920757.0;3.586;8041959736.0;1.06;820.0;0.388;3916054819.0;0.517;351941547.0;0.04650000000000001;2112.391047;1.001;2.110242982
