 "command";"executable";"simtype";"ncores";"nodes";"atomics/node";"iterations";"% remotes";"% priority";"end time" ;"branch-misses";"branch-misses (of all branches          (50.07%))";"branches";"branches (M/sec                    (50.17%))";"context-switches";"context-switches (K/sec)";"cpu-migrations";"cpu-migrations (K/sec)";"cycles";"cycles (GHz                      (50.01%))";"instructions";"instructions (insns per cycle)";"page-faults";"page-faults (K/sec)";"stalled-cycles-backend";"stalled-cycles-backend (backend  cycles idle     (50.01%))";"stalled-cycles-frontend";"stalled-cycles-frontend (frontend cycles idle     (50.00%))";"task-clock (msec)";"task-clock (CPUs utilized)";"time-elapsed (seconds)"
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;10;0.0;1000000;2122087.0;0.030699999999999998;69099103.0;127.315;55.0;0.101;0.0;0.0;1921434010.0;3.54;2597063227.0;1.35;514.0;0.947;908720048.0;0.4729;22076989.0;0.0115;542.743247;1.0;0.542910463
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;10;0.0;1000000;2139565.0;0.031400000000000004;68068294.0;125.396;56.0;0.103;0.0;0.0;1923755478.0;3.544;2597250320.0;1.35;517.0;0.952;908343082.0;0.4722;22330484.0;0.0116;542.82804;1.0;0.54277569
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;10;0.0;1000000;2160906.0;0.0316;68474706.0;126.629;56.0;0.104;0.0;0.0;1929023299.0;3.567;2580651125.0;1.34;517.0;0.956;905758251.0;0.46950000000000003;22006175.0;0.011399999999999999;540.751648;1.0;0.540943679
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 20 -p 0.0 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;20;0.0;1000000;2032925.0;0.0311;65338596.0;127.284;52.0;0.101;0.0;0.0;1819735243.0;3.545;2451549227.0;1.35;516.0;0.001;857564357.0;0.47130000000000005;21371806.0;0.011699999999999999;513.328447;0.999;0.513616487
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 20 -p 0.0 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;20;0.0;1000000;2013777.0;0.0308;65472857.0;129.136;52.0;0.103;0.0;0.0;1814966788.0;3.58;2456517654.0;1.35;518.0;0.001;859816975.0;0.47369999999999995;20362484.0;0.011200000000000002;507.008317;0.999;0.507340667
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 20 -p 0.0 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;20;0.0;1000000;2047027.0;0.0313;65456931.0;127.813;53.0;0.103;0.0;0.0;1820614366.0;3.555;2450824743.0;1.35;519.0;0.001;856924794.0;0.4707;21178198.0;0.0116;512.132205;0.999;0.51249731
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 20 -p 0.0 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;20;0.0;1000000;2041904.0;0.0315;64828921.0;126.708;51.0;0.1;0.0;0.0;1820435817.0;3.558;2459032397.0;1.35;518.0;0.001;856881077.0;0.4707;21009149.0;0.0115;511.642024;1.0;0.511859417
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 20 -p 0.0 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;20;0.0;1000000;2035108.0;0.0315;64536653.0;126.266;52.0;0.102;0.0;0.0;1823319604.0;3.567;2444000881.0;1.34;517.0;0.001;858225844.0;0.4707;21385558.0;0.011699999999999999;511.115243;1.0;0.511064675
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 20 -p 0.0 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;20;0.0;1000000;2017806.0;0.0311;64882019.0;127.479;53.0;0.104;0.0;0.0;1821804964.0;3.579;2460650603.0;1.35;519.0;0.001;863138774.0;0.4738;20604627.0;0.0113;508.961484;1.0;0.50884989
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 20 -p 0.0 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;20;0.0;1000000;2050747.0;0.0317;64728552.0;126.46;51.0;0.1;0.0;0.0;1820162171.0;3.556;2456772160.0;1.35;517.0;0.001;860739850.0;0.4729;21057131.0;0.0116;511.851681;1.0;0.512086489
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 20 -p 0.0 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;20;0.0;1000000;2091309.0;0.032;65434573.0;127.513;56.0;0.109;0.0;0.0;1819429478.0;3.546;2458487025.0;1.35;518.0;0.001;861001400.0;0.4732;21218476.0;0.011699999999999999;513.160068;0.999;0.513618235
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 20 -p 0.0 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;20;0.0;1000000;2018902.0;0.030899999999999997;65423405.0;127.502;51.0;0.099;0.0;0.0;1820047006.0;3.547;2458353738.0;1.35;519.0;0.001;861373432.0;0.4733;21059798.0;0.0116;513.115832;1.0;0.513062525
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 20 -p 0.0 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;20;0.0;1000000;2028461.0;0.0313;64890280.0;126.867;52.0;0.102;0.0;0.0;1820982272.0;3.56;2455936634.0;1.35;517.0;0.001;857808430.0;0.4711;21133230.0;0.0116;511.484284;0.999;0.511770445
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 20 -p 0.0 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;20;0.0;1000000;2034078.0;0.0317;64265191.0;125.882;53.0;0.104;1.0;0.002;1823096284.0;3.571;2449631226.0;1.34;517.0;0.001;861082934.0;0.47229999999999994;21734789.0;0.011899999999999999;510.517325;0.999;0.510844517
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 20 -p 0.0 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;20;0.0;1000000;2027920.0;0.0315;64334747.0;126.0;51.0;0.1;0.0;0.0;1818990902.0;3.563;2449597219.0;1.35;519.0;0.001;857975288.0;0.4717;22134400.0;0.012199999999999999;510.592385;0.999;0.510870726
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 20 -p 0.0 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;20;0.0;1000000;2027232.0;0.0313;64808911.0;126.587;52.0;0.102;0.0;0.0;1820908396.0;3.557;2456778508.0;1.35;516.0;0.001;859488388.0;0.47200000000000003;20927094.0;0.0115;511.971373;1.0;0.512103602
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 20 -p 0.0 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;20;0.0;1000000;1932810.0;0.029500000000000002;65548684.0;126.852;52.0;0.101;0.0;0.0;1854684350.0;3.589;2447519923.0;1.32;515.0;0.997;892769182.0;0.4814;19094871.0;0.0103;516.732668;1.0;0.516970391
