 "command";"executable";"simtype";"ncores";"width";"depth";"end time" ;"branch-misses";"branch-misses (of all branches          (50.08%))";"branches";"branches (M/sec                    (50.85%))";"context-switches";"context-switches (K/sec)";"cpu-migrations";"cpu-migrations (K/sec)";"cycles";"cycles (GHz                      (48.89%))";"instructions";"instructions (insns per cycle)";"page-faults";"page-faults (M/sec)";"stalled-cycles-backend";"stalled-cycles-backend (backend  cycles idle     (51.52%))";"stalled-cycles-frontend";"stalled-cycles-frontend (frontend cycles idle     (51.94%))";"task-clock (msec)";"task-clock (CPUs utilized)";"time-elapsed (seconds)"
"./build/Benchmark/dxexmachina_devstone cpdevs -c 4  -w 15 -d 15 -t 500000";"dxexmachina_devstone";"cpdevs";4;15;15;500000;2233582.0;0.0171;130270101.0;410.061;173.0;0.545;4.0;0.013;1054182076.0;3.318;801434390.0;0.76;851.0;0.003;673086996.0;0.6385000000000001;29040165.0;0.0275;317.684533;3.393;0.093626419
"./build/Benchmark/dxexmachina_devstone cpdevs -c 4  -w 15 -d 15 -t 500000";"dxexmachina_devstone";"cpdevs";4;15;15;500000;3080599.0;0.023700000000000002;129872505.0;426.161;144.0;0.473;4.0;0.013;1066343848.0;3.499;787217904.0;0.74;847.0;0.003;665881185.0;0.6245;32774268.0;0.030699999999999998;304.750112;3.504;0.086961839
"./build/Benchmark/dxexmachina_devstone cpdevs -c 4  -w 15 -d 15 -t 500000";"dxexmachina_devstone";"cpdevs";4;15;15;500000;1815322.0;0.013500000000000002;134461256.0;481.239;70.0;0.251;4.0;0.014;930664316.0;3.331;808598591.0;0.87;859.0;0.003;562249274.0;0.6041;22520455.0;0.0242;279.406208;3.449;0.081004709
"./build/Benchmark/dxexmachina_devstone cpdevs -c 4  -w 15 -d 15 -t 500000";"dxexmachina_devstone";"cpdevs";4;15;15;500000;2745309.0;0.0225;122012987.0;471.86;70.0;0.271;4.0;0.015;880037790.0;3.403;751183984.0;0.85;855.0;0.003;508928794.0;0.5783;27139908.0;0.0308;258.578856;3.518;0.073506953
"./build/Benchmark/dxexmachina_devstone cpdevs -c 4  -w 15 -d 15 -t 500000";"dxexmachina_devstone";"cpdevs";4;15;15;500000;1634726.0;0.013999999999999999;116734275.0;398.222;80.0;0.273;6.0;0.02;976148397.0;3.33;717950257.0;0.74;958.0;0.003;631581162.0;0.647;20598807.0;0.021099999999999997;293.139037;3.192;0.091825098
"./build/Benchmark/dxexmachina_devstone cpdevs -c 4  -w 15 -d 15 -t 500000";"dxexmachina_devstone";"cpdevs";4;15;15;500000;2412232.0;0.0217;111130371.0;472.292;73.0;0.31;4.0;0.017;765242975.0;3.252;693439994.0;0.91;845.0;0.004;457292405.0;0.5976;23497990.0;0.030699999999999998;235.300167;3.54;0.066474707
"./build/Benchmark/dxexmachina_devstone cpdevs -c 4  -w 15 -d 15 -t 500000";"dxexmachina_devstone";"cpdevs";4;15;15;500000;2118510.0;0.0161;131836924.0;424.47;335.0;0.001;4.0;0.013;1039640136.0;3.347;798394741.0;0.77;863.0;0.003;655516912.0;0.6305;31659876.0;0.0305;310.591532;3.347;0.092789421
"./build/Benchmark/dxexmachina_devstone cpdevs -c 4  -w 15 -d 15 -t 500000";"dxexmachina_devstone";"cpdevs";4;15;15;500000;1034058.0;0.0088;117199546.0;499.691;52.0;0.222;4.0;0.017;756062066.0;3.224;715136318.0;0.95;836.0;0.004;464599463.0;0.6145;14400478.0;0.019;234.543993;3.536;0.066322082
"./build/Benchmark/dxexmachina_devstone cpdevs -c 4  -w 15 -d 15 -t 500000";"dxexmachina_devstone";"cpdevs";4;15;15;500000;1621386.0;0.0141;114875049.0;399.638;99.0;0.344;6.0;0.021;976842931.0;3.398;691593889.0;0.71;865.0;0.003;629377258.0;0.6443000000000001;22138953.0;0.0227;287.447945;3.247;0.088528006
"./build/Benchmark/dxexmachina_devstone cpdevs -c 4  -w 15 -d 15 -t 500000";"dxexmachina_devstone";"cpdevs";4;15;15;500000;2827639.0;0.023;123139457.0;413.66;76.0;0.255;4.0;0.013;998827809.0;3.355;750408784.0;0.75;860.0;0.003;652616415.0;0.6534;29865020.0;0.029900000000000003;297.68295;3.342;0.089072065
