 "command";"executable";"width";"end time" ;"branch-misses";"branch-misses (of all branches          (61.44%))";"branches";"branches (M/sec)";"context-switches";"context-switches (K/sec)";"cpu-migrations";"cpu-migrations (K/sec)";"cycles";"cycles (GHz                      (61.59%))";"instructions";"instructions (insns per cycle)";"page-faults";"page-faults (M/sec)";"stalled-cycles-backend";"stalled-cycles-backend (backend  cycles idle)";"stalled-cycles-frontend";"stalled-cycles-frontend (frontend cycles idle)";"task-clock (msec)";"task-clock (CPUs utilized)";"time-elapsed (seconds)"
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";8;4000000;191712.0;0.0033;57413662.0;983.213;0.0;0.0;0.0;0.0;158836917.0;2.72;352619144.0;2.22;124.0;0.002;16916191.0;0.1065;58531603.0;0.3685;58.393926;0.998;0.058525817
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";8;4000000;209153.0;0.0036;57433408.0;979.806;0.0;0.0;0.0;0.0;158905904.0;2.711;352636656.0;2.22;124.0;0.002;17327499.0;0.109;58571327.0;0.3686;58.617105;0.998;0.058760514
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";8;4000000;244097.0;0.0042;57444788.0;942.383;0.0;0.0;0.0;0.0;169749206.0;2.785;352752346.0;2.08;130.0;0.002;19767655.0;0.1165;62782137.0;0.3699;60.956918;0.998;0.061085554
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";8;4000000;240597.0;0.0042;57468061.0;951.04;0.0;0.0;1.0;0.017;168269139.0;2.785;352710237.0;2.1;126.0;0.002;19235644.0;0.1143;61399541.0;0.3649;60.426562;0.998;0.060547301
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";8;4000000;176942.0;0.0031;57350993.0;1012.979;0.0;0.0;0.0;0.0;160510004.0;2.835;352295160.0;2.19;131.0;0.002;15975345.0;0.09949999999999999;56452224.0;0.3517;56.616196;0.998;0.056755731
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";8;4000000;201509.0;0.0034999999999999996;57357748.0;1002.358;0.0;0.0;0.0;0.0;161889694.0;2.829;352368486.0;2.18;129.0;0.002;16248568.0;0.10039999999999999;57956577.0;0.358;57.222798;0.998;0.057362133
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";8;4000000;215823.0;0.0038;57431411.0;957.94;0.0;0.0;0.0;0.0;158900399.0;2.65;352713960.0;2.22;129.0;0.002;18142017.0;0.1142;61903691.0;0.3896;59.953054;0.998;0.060083109
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";8;4000000;185184.0;0.0032;57418582.0;1017.061;0.0;0.0;1.0;0.018;161025486.0;2.852;352688320.0;2.19;128.0;0.002;16228735.0;0.1008;56806227.0;0.3528;56.455397;0.997;0.056608426
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";8;4000000;253044.0;0.0044;57425245.0;957.763;0.0;0.0;0.0;0.0;161909439.0;2.7;353426083.0;2.18;126.0;0.002;19526762.0;0.1206;64778529.0;0.40009999999999996;59.957685;0.997;0.060130271
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";8;4000000;230494.0;0.004;57242872.0;992.594;0.0;0.0;0.0;0.0;164012570.0;2.844;352802699.0;2.15;128.0;0.002;17863898.0;0.10890000000000001;59528868.0;0.363;57.669979;0.997;0.057833852
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";8;4000000;229718.0;0.004;57454851.0;986.424;0.0;0.0;0.0;0.0;162633419.0;2.792;352802147.0;2.17;130.0;0.002;18221097.0;0.11199999999999999;60459937.0;0.3718;58.245569;0.997;0.058398529
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";8;4000000;217309.0;0.0038;57437795.0;959.913;0.0;0.0;0.0;0.0;158907528.0;2.656;352727120.0;2.22;128.0;0.002;18596039.0;0.11699999999999999;61059904.0;0.38420000000000004;59.836477;0.998;0.059985181
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";8;4000000;272478.0;0.004699999999999999;57412222.0;948.994;0.0;0.0;0.0;0.0;171691681.0;2.838;352639203.0;2.05;125.0;0.002;20404327.0;0.1188;64566362.0;0.3761;60.498;0.998;0.060626992
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";8;4000000;223146.0;0.0039000000000000003;57424685.0;959.808;0.0;0.0;0.0;0.0;158906326.0;2.656;352676369.0;2.22;124.0;0.002;18550522.0;0.1167;61178109.0;0.385;59.82933;0.998;0.059955005
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";8;4000000;187604.0;0.0033;57375096.0;1003.409;1.0;0.017;1.0;0.017;161432969.0;2.823;352851046.0;2.19;128.0;0.002;16411879.0;0.1017;57738937.0;0.3577;57.180177;0.997;0.057350033
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";8;4000000;235535.0;0.0040999999999999995;57393082.0;977.461;0.0;0.0;1.0;0.017;161268635.0;2.747;352803500.0;2.19;127.0;0.002;18114290.0;0.11230000000000001;60146329.0;0.373;58.716516;0.997;0.058870931
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";8;4000000;251088.0;0.0044;57447811.0;926.623;0.0;0.0;0.0;0.0;172644635.0;2.785;352774835.0;2.04;128.0;0.002;20567705.0;0.1191;64322655.0;0.3726;61.996995;0.998;0.062124418
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";8;4000000;234373.0;0.0040999999999999995;57436697.0;958.833;0.0;0.0;0.0;0.0;159393742.0;2.661;353004143.0;2.21;130.0;0.002;19170151.0;0.12029999999999999;61034695.0;0.3829;59.902704;0.998;0.060024043
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";8;4000000;216068.0;0.0038;57429750.0;988.654;0.0;0.0;0.0;0.0;158910464.0;2.736;352586948.0;2.22;130.0;0.002;16507526.0;0.1039;57094047.0;0.3593;58.088836;0.998;0.058222159
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";8;4000000;190234.0;0.0033;57430683.0;991.311;0.0;0.0;0.0;0.0;158904667.0;2.743;352654167.0;2.22;125.0;0.002;16406687.0;0.1032;57001402.0;0.35869999999999996;57.934082;0.998;0.058066731
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";8;4000000;260622.0;0.0045000000000000005;57406477.0;963.922;0.0;0.0;1.0;0.017;162004551.0;2.72;352505684.0;2.18;130.0;0.002;19222013.0;0.11869999999999999;63001379.0;0.3889;59.555095;0.998;0.05970288
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";8;4000000;225455.0;0.0039000000000000003;57392405.0;966.95;0.0;0.0;0.0;0.0;163379982.0;2.753;353076598.0;2.16;129.0;0.002;19695642.0;0.1206;63870688.0;0.3909;59.354038;0.998;0.059500367
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";8;4000000;176884.0;0.0031;57376357.0;1012.077;0.0;0.0;0.0;0.0;161232950.0;2.844;352222429.0;2.18;125.0;0.002;15930149.0;0.09880000000000001;56978671.0;0.35340000000000005;56.691676;0.997;0.056848141
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";8;4000000;236887.0;0.0040999999999999995;57409419.0;974.863;0.0;0.0;0.0;0.0;160199593.0;2.72;352421909.0;2.2;126.0;0.002;17806520.0;0.1112;59462911.0;0.3712;58.88971;0.997;0.059055001
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";8;4000000;190552.0;0.0033;57411625.0;997.972;0.0;0.0;2.0;0.035;158911191.0;2.762;352656517.0;2.22;123.0;0.002;15735212.0;0.099;56416325.0;0.355;57.52828;0.998;0.057665165
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";8;4000000;173255.0;0.003;57267152.0;1019.449;0.0;0.0;0.0;0.0;160300515.0;2.854;352477495.0;2.2;128.0;0.002;15664811.0;0.0977;56224008.0;0.3507;56.174637;0.997;0.056333382
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";8;4000000;224992.0;0.0039000000000000003;57389423.0;965.465;0.0;0.0;0.0;0.0;160099593.0;2.693;352420805.0;2.2;127.0;0.002;18175371.0;0.11349999999999999;61773944.0;0.3858;59.442248;0.997;0.059612982
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";8;4000000;237986.0;0.0040999999999999995;57453088.0;951.739;0.0;0.0;0.0;0.0;168103747.0;2.785;352674650.0;2.1;126.0;0.002;19094882.0;0.11359999999999999;61525270.0;0.366;60.366438;0.998;0.060485827
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";8;4000000;191897.0;0.0033;57387121.0;990.43;0.0;0.0;0.0;0.0;160323642.0;2.767;352389166.0;2.2;128.0;0.002;16727288.0;0.1043;58377552.0;0.3641;57.941619;0.998;0.058068895
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";8;4000000;180192.0;0.0031;57354065.0;1010.2;1.0;0.018;0.0;0.0;160866738.0;2.833;352175630.0;2.19;126.0;0.002;16053226.0;0.0998;56882158.0;0.35359999999999997;56.774963;0.997;0.05694921
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";8;4000000;290661.0;0.0051;57280897.0;972.649;0.0;0.0;0.0;0.0;165503058.0;2.81;351828903.0;2.13;129.0;0.002;20473796.0;0.12369999999999999;63526563.0;0.38380000000000003;58.891661;0.997;0.05904973
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";8;4000000;276389.0;0.0048;57456874.0;971.592;0.0;0.0;0.0;0.0;162397340.0;2.746;352797581.0;2.17;131.0;0.002;19555886.0;0.1204;61374705.0;0.3779;59.136825;0.997;0.05929669
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";8;4000000;251444.0;0.0044;57450178.0;961.289;1.0;0.017;0.0;0.0;158895110.0;2.659;352723595.0;2.22;129.0;0.002;18581714.0;0.11689999999999999;59669137.0;0.37549999999999994;59.763672;0.997;0.059934338
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";8;4000000;254479.0;0.0044;57463254.0;950.772;0.0;0.0;0.0;0.0;168796442.0;2.793;353014432.0;2.09;129.0;0.002;19721397.0;0.1168;61376985.0;0.3636;60.43849;0.998;0.060585229
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";8;4000000;237391.0;0.0040999999999999995;57422953.0;972.032;0.0;0.0;3.0;0.051;160323262.0;2.714;352549441.0;2.2;128.0;0.002;18419847.0;0.1149;60020812.0;0.37439999999999996;59.075153;0.997;0.059225477
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";8;4000000;181447.0;0.0032;57313195.0;1017.356;0.0;0.0;0.0;0.0;161120322.0;2.86;352080420.0;2.19;130.0;0.002;16104270.0;0.1;56592596.0;0.35119999999999996;56.335443;0.997;0.056495122
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";8;4000000;200284.0;0.0034999999999999996;57431339.0;954.589;0.0;0.0;0.0;0.0;169013826.0;2.809;352421012.0;2.09;130.0;0.002;18959732.0;0.11220000000000001;63628286.0;0.3765;60.163416;0.997;0.060326167
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";8;4000000;208433.0;0.0036;57418217.0;979.134;0.0;0.0;0.0;0.0;158904320.0;2.71;352656521.0;2.22;130.0;0.002;17168600.0;0.10800000000000001;58531649.0;0.36829999999999996;58.64182;0.997;0.058808151
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";8;4000000;192745.0;0.0034000000000000002;57344428.0;995.356;0.0;0.0;0.0;0.0;161644366.0;2.806;352076184.0;2.18;129.0;0.002;16957485.0;0.10490000000000001;58643759.0;0.3628;57.611974;0.997;0.057768426
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";8;4000000;258112.0;0.0045000000000000005;57451574.0;920.234;0.0;0.0;0.0;0.0;173856903.0;2.785;352813165.0;2.03;130.0;0.002;21413002.0;0.1232;63490912.0;0.3652;62.431477;0.997;0.062591732
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";8;4000000;260423.0;0.0045000000000000005;57448734.0;948.022;0.0;0.0;0.0;0.0;168738368.0;2.785;352754302.0;2.09;130.0;0.002;19673761.0;0.1166;61701039.0;0.3657;60.59853;0.997;0.060759487
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";8;4000000;249978.0;0.0044;57385122.0;959.336;0.0;0.0;0.0;0.0;159889706.0;2.673;352352444.0;2.2;129.0;0.002;19302702.0;0.1207;61180555.0;0.3826;59.817549;0.997;0.059977586
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";8;4000000;208352.0;0.0036;57437008.0;952.929;0.0;0.0;0.0;0.0;167837201.0;2.785;352637469.0;2.1;123.0;0.002;17750301.0;0.1058;63199054.0;0.3765;60.274152;0.997;0.060435421
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";8;4000000;190808.0;0.0033;57426910.0;995.77;0.0;0.0;0.0;0.0;158908554.0;2.755;352594776.0;2.22;126.0;0.002;15735289.0;0.099;56579523.0;0.35609999999999997;57.67085;0.998;0.0578001
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";8;4000000;180568.0;0.0031;57358604.0;998.851;0.0;0.0;1.0;0.017;159834903.0;2.783;352449153.0;2.21;126.0;0.002;15928403.0;0.09970000000000001;57039980.0;0.3569;57.424607;0.997;0.057584954
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";8;4000000;265708.0;0.0046;57451818.0;914.057;0.0;0.0;0.0;0.0;175036735.0;2.785;352774177.0;2.02;129.0;0.002;21547321.0;0.1231;65697868.0;0.3753;62.853623;0.998;0.062981224
"./build/Benchmark/adevs_interconnect classic  -w 16 -t 4000000";"adevs_interconnect";16;4000000;1053266.0;0.006;176741195.0;859.265;1.0;0.005;0.0;0.0;572840235.0;2.785;1118640081.0;1.95;140.0;0.681;72164683.0;0.126;234108388.0;0.40869999999999995;205.688831;1.0;0.205673454
"./build/Benchmark/adevs_interconnect classic  -w 16 -t 4000000";"adevs_interconnect";16;4000000;1006443.0;0.005699999999999999;176646826.0;914.336;0.0;0.0;0.0;0.0;567982955.0;2.94;1112638980.0;1.96;137.0;0.709;69660124.0;0.1226;232605308.0;0.40950000000000003;193.196864;1.0;0.193219887
"./build/Benchmark/adevs_interconnect classic  -w 16 -t 4000000";"adevs_interconnect";16;4000000;1001777.0;0.005699999999999999;176686154.0;858.293;0.0;0.0;0.0;0.0;573306653.0;2.785;1118630267.0;1.95;137.0;0.666;72439090.0;0.1264;236640171.0;0.4128;205.857599;1.0;0.20583566
"./build/Benchmark/adevs_interconnect classic  -w 16 -t 4000000";"adevs_interconnect";16;4000000;1005076.0;0.005699999999999999;176707728.0;875.431;0.0;0.0;0.0;0.0;560386322.0;2.776;1118549458.0;2.0;140.0;0.694;68506483.0;0.1222;227546497.0;0.4061;201.85222;1.0;0.201835337
"./build/Benchmark/adevs_interconnect classic  -w 16 -t 4000000";"adevs_interconnect";16;4000000;1021246.0;0.0058;176695297.0;872.143;0.0;0.0;0.0;0.0;560401304.0;2.766;1118628762.0;2.0;135.0;0.666;70043163.0;0.125;227748764.0;0.4064;202.599055;1.0;0.202582583
"./build/Benchmark/adevs_interconnect classic  -w 16 -t 4000000";"adevs_interconnect";16;4000000;1063721.0;0.006;176617940.0;921.149;0.0;0.0;0.0;0.0;573213365.0;2.99;1118348638.0;1.95;137.0;0.715;71940717.0;0.1255;238071514.0;0.4153;191.736548;1.0;0.191766232
"./build/Benchmark/adevs_interconnect classic  -w 16 -t 4000000";"adevs_interconnect";16;4000000;1038607.0;0.0059;176689550.0;873.941;1.0;0.005;0.0;0.0;560336830.0;2.772;1118573196.0;2.0;137.0;0.678;69322248.0;0.12369999999999999;227695050.0;0.4064;202.175593;1.0;0.202171297
"./build/Benchmark/adevs_interconnect classic  -w 16 -t 4000000";"adevs_interconnect";16;4000000;970114.0;0.0055000000000000005;176696707.0;862.426;0.0;0.0;0.0;0.0;570570003.0;2.785;1118655142.0;1.96;140.0;0.683;73199117.0;0.1283;236398142.0;0.4143;204.883297;1.0;0.204860402
"./build/Benchmark/adevs_interconnect classic  -w 16 -t 4000000";"adevs_interconnect";16;4000000;1023007.0;0.0058;176653556.0;910.555;0.0;0.0;0.0;0.0;567502445.0;2.925;1108247836.0;1.95;140.0;0.722;70058055.0;0.1234;232409557.0;0.40950000000000003;194.006363;1.0;0.193992727
"./build/Benchmark/adevs_interconnect classic  -w 16 -t 4000000";"adevs_interconnect";16;4000000;1163548.0;0.0066;176756476.0;842.657;1.0;0.005;0.0;0.0;598696113.0;2.854;1119092241.0;1.87;140.0;0.667;80844075.0;0.135;257707228.0;0.4304;209.760777;1.0;0.209784242
"./build/Benchmark/adevs_interconnect classic  -w 16 -t 4000000";"adevs_interconnect";16;4000000;1074399.0;0.0060999999999999995;176701589.0;856.487;0.0;0.0;0.0;0.0;574562356.0;2.785;1118553908.0;1.95;138.0;0.669;72407663.0;0.126;235129919.0;0.4092;206.309599;1.0;0.206292117
"./build/Benchmark/adevs_interconnect classic  -w 16 -t 4000000";"adevs_interconnect";16;4000000;977683.0;0.0055000000000000005;176722594.0;874.65;0.0;0.0;0.0;0.0;560366164.0;2.773;1118466819.0;2.0;137.0;0.678;68213048.0;0.1217;226786537.0;0.4047;202.049411;1.0;0.202070458
"./build/Benchmark/adevs_interconnect classic  -w 16 -t 4000000";"adevs_interconnect";16;4000000;1108019.0;0.0063;174979084.0;887.806;1.0;0.005;0.0;0.0;579851072.0;2.942;1118129651.0;1.93;140.0;0.71;76335463.0;0.1316;239824877.0;0.41359999999999997;197.091481;1.0;0.197088501
"./build/Benchmark/adevs_interconnect classic  -w 16 -t 4000000";"adevs_interconnect";16;4000000;1053402.0;0.006;176705196.0;875.097;0.0;0.0;0.0;0.0;560369420.0;2.775;1118516264.0;2.0;136.0;0.674;68988649.0;0.1231;225413842.0;0.4023;201.926509;1.0;0.201945395
"./build/Benchmark/adevs_interconnect classic  -w 16 -t 4000000";"adevs_interconnect";16;4000000;1041839.0;0.0059;176692013.0;917.22;0.0;0.0;0.0;0.0;565414616.0;2.935;1116338448.0;1.97;140.0;0.727;70140977.0;0.1241;228795610.0;0.4047;192.638635;1.0;0.19265882
"./build/Benchmark/adevs_interconnect classic  -w 16 -t 4000000";"adevs_interconnect";16;4000000;1058529.0;0.006;176737511.0;908.353;1.0;0.005;0.0;0.0;572125599.0;2.94;1104537258.0;1.93;141.0;0.725;71619266.0;0.1252;235126408.0;0.41100000000000003;194.569126;1.0;0.19459721
"./build/Benchmark/adevs_interconnect classic  -w 16 -t 4000000";"adevs_interconnect";16;4000000;1053966.0;0.006;176703827.0;843.746;0.0;0.0;0.0;0.0;583261495.0;2.785;1118684227.0;1.92;139.0;0.664;73870470.0;0.1267;247415702.0;0.4242;209.427835;1.0;0.209407225
"./build/Benchmark/adevs_interconnect classic  -w 16 -t 4000000";"adevs_interconnect";16;4000000;1025638.0;0.0059;173976995.0;877.867;0.0;0.0;0.0;0.0;568061404.0;2.866;1118529095.0;1.97;141.0;0.711;72228162.0;0.12710000000000002;231181690.0;0.40700000000000003;198.18143;1.0;0.198167147
"./build/Benchmark/adevs_interconnect classic  -w 16 -t 4000000";"adevs_interconnect";16;4000000;975882.0;0.0055000000000000005;176649378.0;905.804;1.0;0.005;0.0;0.0;571929465.0;2.933;1102223082.0;1.93;135.0;0.692;70781477.0;0.12380000000000001;237314290.0;0.41490000000000005;195.019323;1.0;0.19501765
"./build/Benchmark/adevs_interconnect classic  -w 16 -t 4000000";"adevs_interconnect";16;4000000;1029501.0;0.0058;176628478.0;919.023;0.0;0.0;0.0;0.0;566417091.0;2.947;1118176130.0;1.97;137.0;0.713;69116519.0;0.122;230868749.0;0.40759999999999996;192.191667;1.0;0.192211537
"./build/Benchmark/adevs_interconnect classic  -w 16 -t 4000000";"adevs_interconnect";16;4000000;1023900.0;0.0058;176688478.0;869.813;0.0;0.0;0.0;0.0;560385668.0;2.759;1118615875.0;2.0;138.0;0.679;69790820.0;0.1245;230959921.0;0.4121;203.133904;1.0;0.203125692
"./build/Benchmark/adevs_interconnect classic  -w 16 -t 4000000";"adevs_interconnect";16;4000000;1021437.0;0.0058;176692299.0;868.977;1.0;0.005;0.0;0.0;560360563.0;2.756;1118569917.0;2.0;139.0;0.684;71286412.0;0.1272;231279955.0;0.4127;203.333603;1.0;0.203327588
"./build/Benchmark/adevs_interconnect classic  -w 16 -t 4000000";"adevs_interconnect";16;4000000;1059337.0;0.006;176616795.0;911.363;0.0;0.0;0.0;0.0;567326839.0;2.927;1109101499.0;1.95;135.0;0.697;69989520.0;0.1234;231020376.0;0.4072;193.794188;1.0;0.193784149
"./build/Benchmark/adevs_interconnect classic  -w 16 -t 4000000";"adevs_interconnect";16;4000000;978454.0;0.0055000000000000005;176680709.0;871.562;0.0;0.0;0.0;0.0;560360121.0;2.764;1118603697.0;2.0;139.0;0.686;68611837.0;0.12240000000000001;230458677.0;0.4113;202.717246;1.0;0.202695168
"./build/Benchmark/adevs_interconnect classic  -w 16 -t 4000000";"adevs_interconnect";16;4000000;1073438.0;0.0060999999999999995;176682414.0;866.971;1.0;0.005;0.0;0.0;560338567.0;2.75;1118867887.0;2.0;142.0;0.697;69740569.0;0.1245;230498844.0;0.4114;203.792688;1.0;0.203779946
"./build/Benchmark/adevs_interconnect classic  -w 16 -t 4000000";"adevs_interconnect";16;4000000;1014996.0;0.005699999999999999;176578337.0;910.57;0.0;0.0;0.0;0.0;568788941.0;2.933;1108539334.0;1.95;137.0;0.706;70424324.0;0.12380000000000001;231523778.0;0.40700000000000003;193.920708;1.0;0.193941573
"./build/Benchmark/adevs_interconnect classic  -w 16 -t 4000000";"adevs_interconnect";16;4000000;1061075.0;0.006;176718769.0;917.083;0.0;0.0;0.0;0.0;567279793.0;2.944;1116334814.0;1.97;134.0;0.695;70350567.0;0.124;230950685.0;0.4071;192.696491;1.0;0.192714576
"./build/Benchmark/adevs_interconnect classic  -w 16 -t 4000000";"adevs_interconnect";16;4000000;1039640.0;0.0059;176650703.0;912.553;1.0;0.005;0.0;0.0;566900527.0;2.929;1110173604.0;1.96;140.0;0.723;69388440.0;0.12240000000000001;231228232.0;0.4079;193.578642;1.0;0.193604552
"./build/Benchmark/adevs_interconnect classic  -w 16 -t 4000000";"adevs_interconnect";16;4000000;1133252.0;0.0064;176696676.0;847.716;0.0;0.0;0.0;0.0;580481939.0;2.785;1118874420.0;1.93;140.0;0.672;76097613.0;0.1311;240395323.0;0.41409999999999997;208.43858;1.0;0.208421442
"./build/Benchmark/adevs_interconnect classic  -w 16 -t 4000000";"adevs_interconnect";16;4000000;986155.0;0.005600000000000001;176707023.0;870.322;0.0;0.0;0.0;0.0;560392102.0;2.76;1118617632.0;2.0;140.0;0.69;69905307.0;0.1247;231876411.0;0.4138;203.036433;1.0;0.203050651
"./build/Benchmark/adevs_interconnect classic  -w 16 -t 4000000";"adevs_interconnect";16;4000000;1087100.0;0.0062;176684976.0;865.969;1.0;0.005;0.0;0.0;560166137.0;2.745;1118567673.0;2.0;139.0;0.681;70926277.0;0.1266;230605562.0;0.4117;204.03157;1.0;0.204052708
"./build/Benchmark/adevs_interconnect classic  -w 16 -t 4000000";"adevs_interconnect";16;4000000;1061213.0;0.006;176698955.0;858.483;0.0;0.0;0.0;0.0;573218984.0;2.785;1118649786.0;1.95;136.0;0.661;74875482.0;0.1306;231706499.0;0.4042;205.82689;1.0;0.205804221
"./build/Benchmark/adevs_interconnect classic  -w 16 -t 4000000";"adevs_interconnect";16;4000000;1013063.0;0.005699999999999999;176699581.0;875.85;0.0;0.0;1.0;0.005;560392305.0;2.778;1118638052.0;2.0;137.0;0.679;68297671.0;0.1219;227290396.0;0.4056;201.746349;1.0;0.20172642
"./build/Benchmark/adevs_interconnect classic  -w 16 -t 4000000";"adevs_interconnect";16;4000000;1041766.0;0.0059;176709586.0;867.283;0.0;0.0;0.0;0.0;560375783.0;2.75;1118271760.0;2.0;137.0;0.672;70414510.0;0.1257;230838505.0;0.4119;203.750758;1.0;0.203759202
"./build/Benchmark/adevs_interconnect classic  -w 16 -t 4000000";"adevs_interconnect";16;4000000;961278.0;0.0054;176649240.0;919.709;0.0;0.0;0.0;0.0;563989456.0;2.936;1118567134.0;1.98;136.0;0.708;68475804.0;0.12140000000000001;229861600.0;0.40759999999999996;192.070754;1.0;0.192063943
"./build/Benchmark/adevs_interconnect classic  -w 16 -t 4000000";"adevs_interconnect";16;4000000;1020291.0;0.0058;176653811.0;906.267;1.0;0.005;0.0;0.0;572149425.0;2.935;1103018496.0;1.93;137.0;0.703;71548619.0;0.1251;236961576.0;0.4142;194.924765;1.0;0.194924395
"./build/Benchmark/adevs_interconnect classic  -w 16 -t 4000000";"adevs_interconnect";16;4000000;991656.0;0.005600000000000001;176643957.0;915.886;0.0;0.0;0.0;0.0;566889783.0;2.939;1114680105.0;1.97;140.0;0.726;69636435.0;0.12279999999999999;230571097.0;0.4067;192.866844;1.0;0.192886784
"./build/Benchmark/adevs_interconnect classic  -w 16 -t 4000000";"adevs_interconnect";16;4000000;1020075.0;0.0058;176683232.0;866.508;0.0;0.0;0.0;0.0;560379570.0;2.748;1118636558.0;2.0;137.0;0.672;71370906.0;0.1274;231828777.0;0.41369999999999996;203.902492;1.0;0.203887693
"./build/Benchmark/adevs_interconnect classic  -w 16 -t 4000000";"adevs_interconnect";16;4000000;1118664.0;0.0063;176625204.0;887.585;0.0;0.0;0.0;0.0;585119320.0;2.94;1117767409.0;1.91;136.0;0.683;76283110.0;0.1304;245826049.0;0.4201;198.995242;1.0;0.199010866
"./build/Benchmark/adevs_interconnect classic  -w 16 -t 4000000";"adevs_interconnect";16;4000000;1018361.0;0.0058;176728013.0;912.015;0.0;0.0;0.0;0.0;564933308.0;2.915;1109759444.0;1.96;138.0;0.712;68717787.0;0.1216;229731161.0;0.4067;193.777528;1.0;0.193806262
"./build/Benchmark/adevs_interconnect classic  -w 16 -t 4000000";"adevs_interconnect";16;4000000;1001705.0;0.005699999999999999;176711478.0;866.535;0.0;0.0;0.0;0.0;560361430.0;2.748;1118593190.0;2.0;136.0;0.667;70140291.0;0.1252;230966032.0;0.4122;203.928883;1.0;0.203907586
"./build/Benchmark/adevs_interconnect classic  -w 16 -t 4000000";"adevs_interconnect";16;4000000;1018375.0;0.0058;176732904.0;913.329;0.0;0.0;0.0;0.0;563948580.0;2.914;1111245167.0;1.97;135.0;0.698;68434133.0;0.1213;228459300.0;0.40509999999999996;193.503999;1.0;0.193529918
