 "command";"executable";"nodes";"atomics/node";"iterations";"% remotes";"end time" ;"branch-misses";"branch-misses (of all branches          (85.82%))";"branches";"branches (M/sec                    (85.77%))";"context-switches";"context-switches (K/sec)";"cpu-migrations";"cpu-migrations (M/sec)";"cycles";"cycles (GHz                      (85.56%))";"instructions";"instructions (insns per cycle)";"page-faults";"page-faults (K/sec)";"stalled-cycles-backend";"stalled-cycles-backend (backend  cycles idle     (70.31%))";"stalled-cycles-frontend";"stalled-cycles-frontend (frontend cycles idle     (85.47%))";"task-clock (msec)";"task-clock (CPUs utilized)";"time-elapsed (seconds)"
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;9946873.0;0.0132;751398914.0;500.614;175.0;0.117;16361.0;0.011;3370501987.0;2.246;4074584448.0;1.21;139.0;0.093;899260855.0;0.2668;1600236254.0;0.47479999999999994;1500.953375;1.11;1.352636143
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;9783631.0;0.0129;758775752.0;531.676;212.0;0.149;16413.0;0.012;3324795180.0;2.33;4062072506.0;1.22;141.0;0.099;882315346.0;0.26539999999999997;1568204209.0;0.4717;1427.138828;1.106;1.289979499
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;10532136.0;0.013999999999999999;751592196.0;559.527;192.0;0.143;16385.0;0.012;3397659808.0;2.529;4069723254.0;1.2;139.0;0.103;956204237.0;0.2814;1644702943.0;0.4841;1343.263039;1.102;1.218769133
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;11487818.0;0.015;765610788.0;600.784;195.0;0.153;16287.0;0.013;3463426173.0;2.718;4159181564.0;1.2;142.0;0.111;960006187.0;0.2772;1642028390.0;0.47409999999999997;1274.352751;1.097;1.162049581
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;9233151.0;0.0123;753279461.0;544.338;207.0;0.15;16335.0;0.012;3295517044.0;2.381;4050697633.0;1.23;142.0;0.103;885147164.0;0.2686;1564950476.0;0.47490000000000004;1383.844609;1.1;1.257979237
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;9437183.0;0.0124;760880115.0;586.544;152.0;0.117;16322.0;0.013;3317029212.0;2.557;4113310375.0;1.24;137.0;0.106;872771639.0;0.2631;1556587603.0;0.4693;1297.225072;1.11;1.168742883
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;10291748.0;0.013600000000000001;756414312.0;567.634;135.0;0.101;16378.0;0.012;3364504427.0;2.525;4096820769.0;1.22;139.0;0.104;899402391.0;0.2673;1581273787.0;0.47;1332.574748;1.11;1.2004504
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;10330635.0;0.013500000000000002;763868902.0;516.967;182.0;0.123;16284.0;0.011;3410904657.0;2.308;4125450311.0;1.21;144.0;0.097;922341401.0;0.2704;1625994802.0;0.4767;1477.596966;1.101;1.341856629
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;9381206.0;0.0123;764521004.0;612.252;205.0;0.164;16274.0;0.013;3396593024.0;2.72;4108846658.0;1.21;138.0;0.111;925165252.0;0.2724;1615336091.0;0.4756;1248.703958;1.099;1.135831072
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;10538367.0;0.0138;763290709.0;603.751;164.0;0.13;16325.0;0.013;3374347170.0;2.669;4112166944.0;1.22;142.0;0.112;900910085.0;0.267;1573514061.0;0.46630000000000005;1264.24756;1.108;1.141427871
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;10041368.0;0.013300000000000001;754394193.0;571.28;186.0;0.141;16316.0;0.012;3334594748.0;2.525;4069807987.0;1.22;142.0;0.108;900386631.0;0.27;1593191085.0;0.4778;1320.532225;1.1;1.200845621
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;10466743.0;0.0139;753749199.0;536.496;133.0;0.095;16417.0;0.012;3350207250.0;2.385;3982840632.0;1.19;142.0;0.101;886765989.0;0.2647;1596640400.0;0.47659999999999997;1404.948916;1.107;1.268670755
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;10589559.0;0.013999999999999999;757730811.0;617.117;232.0;0.189;16255.0;0.013;3382059178.0;2.754;4091298037.0;1.21;143.0;0.116;911880491.0;0.2696;1598035284.0;0.4725;1227.856427;1.093;1.12384914
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;9783982.0;0.0129;756779478.0;538.442;213.0;0.152;16318.0;0.012;3452031289.0;2.456;4058443984.0;1.18;142.0;0.101;993102537.0;0.2877;1722901359.0;0.4991;1405.498273;1.097;1.280877856
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;9647182.0;0.0126;762922537.0;625.566;209.0;0.171;16250.0;0.013;3352634520.0;2.749;4110787290.0;1.23;142.0;0.116;898425356.0;0.268;1574112504.0;0.46950000000000003;1219.572473;1.093;1.116150277
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;9890183.0;0.0132;751537799.0;594.985;234.0;0.185;16292.0;0.013;3329859893.0;2.636;4066433297.0;1.22;142.0;0.112;893557435.0;0.2683;1570991127.0;0.4718;1263.12015;1.096;1.152399753
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;8619493.0;0.0113;759518139.0;558.194;206.0;0.151;16323.0;0.012;3341726372.0;2.456;4059874101.0;1.21;141.0;0.104;879587507.0;0.2632;1572685766.0;0.4706;1360.670388;1.107;1.229689135
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;9854079.0;0.013000000000000001;759486871.0;578.774;189.0;0.144;16290.0;0.012;3352959031.0;2.555;4066999231.0;1.21;141.0;0.107;892947824.0;0.2663;1581375117.0;0.47159999999999996;1312.234816;1.098;1.195074204
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;11398056.0;0.0147;774257797.0;586.847;219.0;0.166;16275.0;0.012;3440943523.0;2.608;4154814692.0;1.21;143.0;0.108;937395645.0;0.2724;1622521811.0;0.4715;1319.352414;1.098;1.201353305
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;11888928.0;0.0152;779658397.0;538.813;231.0;0.16;16324.0;0.011;3483711247.0;2.408;4174990465.0;1.2;142.0;0.098;951906257.0;0.2732;1650587729.0;0.4738;1446.993191;1.102;1.312590683
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;11337922.0;0.0151;748669063.0;518.151;208.0;0.144;16325.0;0.011;3402639845.0;2.355;4062419988.0;1.19;139.0;0.096;935342554.0;0.2749;1631834842.0;0.4796;1444.886751;1.102;1.311449808
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;10542966.0;0.0139;759436382.0;584.189;199.0;0.153;16248.0;0.012;3395940224.0;2.612;4101979193.0;1.21;142.0;0.109;930306594.0;0.27390000000000003;1617239341.0;0.47619999999999996;1299.983956;1.091;1.191065966
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;10174560.0;0.013600000000000001;748099220.0;465.191;175.0;0.109;16352.0;0.01;3408455361.0;2.119;4062046896.0;1.19;142.0;0.088;931701624.0;0.2734;1638145377.0;0.4806;1608.155497;1.108;1.451103194
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;10585364.0;0.0139;763042421.0;593.376;158.0;0.123;16300.0;0.013;3378251421.0;2.627;4097063687.0;1.21;141.0;0.11;918199588.0;0.2718;1596249805.0;0.4725;1285.934227;1.103;1.165958083
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;9841007.0;0.013000000000000001;755810959.0;609.457;168.0;0.135;16311.0;0.013;3335251998.0;2.689;4105821381.0;1.23;139.0;0.112;891764001.0;0.26739999999999997;1564863923.0;0.4692;1240.138878;1.095;1.132762054
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;10402187.0;0.0139;750632510.0;534.505;165.0;0.117;16391.0;0.012;3475671541.0;2.475;4028306212.0;1.16;139.0;0.099;991822303.0;0.2854;1709633145.0;0.4919;1404.351047;1.104;1.27246317
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;10280677.0;0.013500000000000002;762889726.0;565.946;107.0;0.079;16389.0;0.012;3345114488.0;2.482;4058697249.0;1.21;144.0;0.107;914875294.0;0.2735;1605075256.0;0.47979999999999995;1347.991146;1.117;1.207254804
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;9882477.0;0.0131;757053139.0;500.087;218.0;0.144;16320.0;0.011;3339330117.0;2.206;4088220458.0;1.22;139.0;0.092;888017130.0;0.2659;1567475877.0;0.4694;1513.844245;1.103;1.37302973
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;10960464.0;0.014499999999999999;756032451.0;555.68;107.0;0.079;16409.0;0.012;3357705135.0;2.468;4063951321.0;1.21;142.0;0.104;902400925.0;0.2688;1582505593.0;0.47130000000000005;1360.554677;1.116;1.218875476
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;11018976.0;0.014499999999999999;761564968.0;563.351;137.0;0.101;16359.0;0.012;3419834584.0;2.53;4063148783.0;1.19;143.0;0.106;947666174.0;0.2771;1665977204.0;0.48719999999999997;1351.847269;1.106;1.221957568
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;10588249.0;0.0138;765877903.0;600.707;247.0;0.194;16281.0;0.013;3362806526.0;2.638;4128597534.0;1.23;143.0;0.112;892040124.0;0.26530000000000004;1577791574.0;0.4692;1274.960445;1.1;1.159274658
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;11167371.0;0.0148;757054211.0;552.687;127.0;0.093;16423.0;0.012;3381252238.0;2.468;4057727204.0;1.2;138.0;0.101;903711481.0;0.2673;1586774555.0;0.4693;1369.769547;1.116;1.227823932
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;10123586.0;0.013300000000000001;758429308.0;566.328;151.0;0.113;16331.0;0.012;3332838026.0;2.489;4032100927.0;1.21;142.0;0.106;869724230.0;0.261;1578047263.0;0.47350000000000003;1339.20609;1.107;1.210190071
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;10790895.0;0.013999999999999999;768079092.0;560.486;238.0;0.174;16346.0;0.012;3392574297.0;2.476;4136523610.0;1.22;142.0;0.104;917373185.0;0.2704;1584489008.0;0.467;1370.379498;1.098;1.247675006
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;11086722.0;0.0146;761095274.0;580.471;223.0;0.17;16348.0;0.012;3398306830.0;2.592;4106392887.0;1.21;138.0;0.105;933191503.0;0.2746;1610002289.0;0.4738;1311.168111;1.102;1.189789199
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;10667140.0;0.013999999999999999;762431999.0;589.207;168.0;0.13;16302.0;0.013;3385870272.0;2.617;4105821875.0;1.21;141.0;0.109;921783826.0;0.2722;1611828598.0;0.47600000000000003;1293.99581;1.105;1.171462173
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;10218252.0;0.013500000000000002;757921788.0;543.02;186.0;0.133;16318.0;0.012;3384438338.0;2.425;4059433207.0;1.2;142.0;0.102;905358922.0;0.2675;1595616607.0;0.4715;1395.753216;1.103;1.265483016
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;10722989.0;0.0144;746746698.0;510.128;147.0;0.1;16434.0;0.011;3366116125.0;2.3;4005479917.0;1.19;142.0;0.097;898789952.0;0.267;1602271988.0;0.47600000000000003;1463.841324;1.112;1.315925716
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;9616292.0;0.0127;757232556.0;563.843;193.0;0.144;16344.0;0.012;3328811306.0;2.479;4089627911.0;1.23;141.0;0.105;905037806.0;0.27190000000000003;1574390461.0;0.473;1342.984212;1.105;1.21539552
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;9981155.0;0.0132;756752356.0;614.674;204.0;0.166;16265.0;0.013;3375919825.0;2.742;4069829054.0;1.21;143.0;0.116;911155783.0;0.2699;1601687558.0;0.4744;1231.143293;1.088;1.131356042
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;10173596.0;0.013300000000000001;764805587.0;569.424;127.0;0.095;16420.0;0.012;3362007183.0;2.503;4059636445.0;1.21;139.0;0.103;899537259.0;0.2676;1579986728.0;0.47;1343.121928;1.116;1.203519531
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;9128664.0;0.0121;751346754.0;545.118;212.0;0.154;16329.0;0.012;3342685866.0;2.425;4042671847.0;1.21;143.0;0.104;917353052.0;0.27440000000000003;1597775520.0;0.478;1378.318697;1.098;1.254823826
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;8834067.0;0.011699999999999999;754896922.0;592.344;227.0;0.178;16261.0;0.013;3346440000.0;2.626;4085442246.0;1.22;142.0;0.111;910510927.0;0.2721;1591114109.0;0.4755;1274.423754;1.1;1.158882598
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;9423275.0;0.0123;767858873.0;610.675;179.0;0.142;16274.0;0.013;3348534432.0;2.663;4138789453.0;1.24;142.0;0.113;894161013.0;0.267;1575467972.0;0.4705;1257.394217;1.102;1.140976439
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;9987761.0;0.0131;763930553.0;538.231;214.0;0.151;16276.0;0.011;3401780653.0;2.397;4120737977.0;1.21;142.0;0.1;937192575.0;0.2755;1625252467.0;0.4778;1419.334761;1.103;1.286864591
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;9923502.0;0.0131;759525158.0;531.697;190.0;0.133;16404.0;0.011;3359393840.0;2.352;4068480624.0;1.21;142.0;0.099;904917857.0;0.26940000000000003;1583257593.0;0.47130000000000005;1428.49337;1.108;1.289326289
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;10704971.0;0.013999999999999999;766920646.0;552.029;132.0;0.095;16409.0;0.012;3424744032.0;2.465;4067496966.0;1.19;141.0;0.101;941703446.0;0.275;1641060522.0;0.4792;1389.275233;1.108;1.254226899
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;10934494.0;0.0143;765265353.0;610.494;181.0;0.144;16277.0;0.013;3421580169.0;2.73;4135571727.0;1.21;139.0;0.111;942564595.0;0.2755;1627799067.0;0.4757;1253.518931;1.099;1.14020033
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;10848659.0;0.014199999999999999;762385838.0;505.789;158.0;0.105;16457.0;0.011;3351120973.0;2.223;4069940066.0;1.21;139.0;0.092;924643967.0;0.2759;1611824795.0;0.48100000000000004;1507.319422;1.115;1.351511734
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;10420400.0;0.0137;759321482.0;529.339;210.0;0.146;16302.0;0.011;3489423022.0;2.433;4102765771.0;1.18;139.0;0.097;971311097.0;0.2784;1703230753.0;0.48810000000000003;1434.471244;1.104;1.299898589
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 64 -r 10 -t 4000000";"dxexmachina_phold";2;2;64;10;4000000;10026907.0;0.013000000000000001;770850100.0;609.679;172.0;0.136;16291.0;0.013;3415400136.0;2.701;4161426080.0;1.22;143.0;0.113;909190265.0;0.2662;1618796961.0;0.474;1264.353898;1.1;1.149677167
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 64 -r 10 -t 4000000";"dxexmachina_phold";2;2;64;10;4000000;10947052.0;0.014199999999999999;769123179.0;589.95;213.0;0.163;16244.0;0.012;3380848024.0;2.593;4149039982.0;1.23;143.0;0.11;879671914.0;0.2602;1579413062.0;0.4672;1303.7091;1.096;1.189179113
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 64 -r 10 -t 4000000";"dxexmachina_phold";2;2;64;10;4000000;10388512.0;0.013600000000000001;761175339.0;590.434;170.0;0.132;16364.0;0.013;3386071288.0;2.627;4111724724.0;1.21;140.0;0.109;887782891.0;0.2622;1594214076.0;0.4708;1289.178468;1.111;1.160374447
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 64 -r 10 -t 4000000";"dxexmachina_phold";2;2;64;10;4000000;10208300.0;0.013300000000000001;768084301.0;546.62;200.0;0.142;16293.0;0.012;3397979843.0;2.418;4140265897.0;1.22;142.0;0.101;897569184.0;0.2641;1606953334.0;0.4729;1405.151969;1.104;1.273225912
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 64 -r 10 -t 4000000";"dxexmachina_phold";2;2;64;10;4000000;10140360.0;0.0132;767330721.0;594.432;237.0;0.184;16276.0;0.013;3397351246.0;2.632;4130930325.0;1.22;139.0;0.108;915301319.0;0.26940000000000003;1618510949.0;0.4764;1290.86392;1.101;1.171960249
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 64 -r 10 -t 4000000";"dxexmachina_phold";2;2;64;10;4000000;11320237.0;0.0147;769862762.0;615.251;194.0;0.155;16275.0;0.013;3414681310.0;2.729;4137625489.0;1.21;143.0;0.114;906693189.0;0.2655;1615309309.0;0.473;1251.298915;1.098;1.139171352
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 64 -r 10 -t 4000000";"dxexmachina_phold";2;2;64;10;4000000;9236080.0;0.011899999999999999;773256917.0;581.229;179.0;0.135;16305.0;0.012;3353877132.0;2.521;4158017482.0;1.24;140.0;0.105;875924018.0;0.2612;1575308423.0;0.4697;1330.382012;1.103;1.206079263
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 64 -r 10 -t 4000000";"dxexmachina_phold";2;2;64;10;4000000;11578111.0;0.0149;776051733.0;585.098;216.0;0.163;16264.0;0.012;3519544481.0;2.654;4189972745.0;1.19;140.0;0.106;971981539.0;0.2762;1681758825.0;0.4778;1326.361088;1.092;1.214440219
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 64 -r 10 -t 4000000";"dxexmachina_phold";2;2;64;10;4000000;10257802.0;0.0134;768318705.0;560.093;146.0;0.106;16424.0;0.012;3416473091.0;2.491;4082050007.0;1.19;141.0;0.103;897611293.0;0.2627;1598389700.0;0.4678;1371.770436;1.113;1.233023343
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 64 -r 10 -t 4000000";"dxexmachina_phold";2;2;64;10;4000000;10437710.0;0.013600000000000001;765461763.0;602.114;193.0;0.152;16260.0;0.013;3379904203.0;2.659;4122846987.0;1.22;143.0;0.112;892628123.0;0.2641;1593368707.0;0.4714;1271.291341;1.097;1.158875788
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 64 -r 10 -t 4000000";"dxexmachina_phold";2;2;64;10;4000000;9329192.0;0.0121;768721318.0;599.209;273.0;0.213;16245.0;0.013;3354714645.0;2.615;4145561889.0;1.24;142.0;0.111;870595545.0;0.2595;1571129954.0;0.4683;1282.894388;1.101;1.165110913
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 64 -r 10 -t 4000000";"dxexmachina_phold";2;2;64;10;4000000;10519437.0;0.0138;761094675.0;572.58;117.0;0.088;16420.0;0.012;3364274811.0;2.531;4123094716.0;1.23;139.0;0.105;876160831.0;0.26039999999999996;1562083421.0;0.4643;1329.236483;1.119;1.188399385
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 64 -r 10 -t 4000000";"dxexmachina_phold";2;2;64;10;4000000;9367347.0;0.0121;773401305.0;617.341;196.0;0.156;16247.0;0.013;3440455225.0;2.746;4150969616.0;1.21;142.0;0.113;912684560.0;0.26530000000000004;1706666922.0;0.4961;1252.793783;1.101;1.138274968
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 64 -r 10 -t 4000000";"dxexmachina_phold";2;2;64;10;4000000;10397060.0;0.013500000000000002;768983724.0;618.511;235.0;0.189;16272.0;0.013;3397671048.0;2.733;4159388095.0;1.22;143.0;0.115;904606876.0;0.2662;1598468794.0;0.4705;1243.282347;1.101;1.128800587
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 64 -r 10 -t 4000000";"dxexmachina_phold";2;2;64;10;4000000;10014581.0;0.0132;758539875.0;615.301;210.0;0.17;16283.0;0.013;3368831505.0;2.733;4107071362.0;1.22;141.0;0.114;887664766.0;0.2635;1582926085.0;0.46990000000000004;1232.795539;1.098;1.122484583
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 64 -r 10 -t 4000000";"dxexmachina_phold";2;2;64;10;4000000;9260602.0;0.0121;765519975.0;613.842;212.0;0.17;16279.0;0.013;3364249832.0;2.698;4146196918.0;1.23;143.0;0.115;885029773.0;0.2631;1586354335.0;0.4715;1247.096075;1.099;1.135101983
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 64 -r 10 -t 4000000";"dxexmachina_phold";2;2;64;10;4000000;9770819.0;0.013000000000000001;752546814.0;520.105;171.0;0.118;16390.0;0.011;3398761376.0;2.349;4038972020.0;1.19;138.0;0.095;928759245.0;0.2733;1631629318.0;0.48009999999999997;1446.913296;1.104;1.311130693
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 64 -r 10 -t 4000000";"dxexmachina_phold";2;2;64;10;4000000;9120513.0;0.012;762990605.0;568.3;204.0;0.152;16348.0;0.012;3329000036.0;2.48;4131109017.0;1.24;142.0;0.106;886278331.0;0.2662;1571039776.0;0.4719;1342.583964;1.106;1.213654157
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 64 -r 10 -t 4000000";"dxexmachina_phold";2;2;64;10;4000000;10254085.0;0.013300000000000001;768231071.0;596.106;238.0;0.185;16276.0;0.013;3372066350.0;2.617;4154686392.0;1.23;141.0;0.109;890682667.0;0.2641;1589137987.0;0.47130000000000005;1288.749994;1.101;1.170960516
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 64 -r 10 -t 4000000";"dxexmachina_phold";2;2;64;10;4000000;10857218.0;0.014199999999999999;765020052.0;557.151;178.0;0.13;16377.0;0.012;3451620918.0;2.514;4141238572.0;1.2;140.0;0.102;946304872.0;0.2742;1656853855.0;0.48;1373.09357;1.105;1.242528708
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 64 -r 10 -t 4000000";"dxexmachina_phold";2;2;64;10;4000000;10775740.0;0.0141;766427144.0;611.599;209.0;0.167;16247.0;0.013;3441993296.0;2.747;4112427857.0;1.19;138.0;0.11;938385543.0;0.2726;1651174543.0;0.4797;1253.153002;1.093;1.146105072
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 64 -r 10 -t 4000000";"dxexmachina_phold";2;2;64;10;4000000;10112716.0;0.013300000000000001;763185546.0;599.291;215.0;0.169;16261.0;0.013;3393107774.0;2.664;4132553391.0;1.22;142.0;0.112;916316722.0;0.2701;1609349120.0;0.4743;1273.479725;1.093;1.165562603
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 64 -r 10 -t 4000000";"dxexmachina_phold";2;2;64;10;4000000;10780374.0;0.014199999999999999;759923727.0;591.012;189.0;0.147;16269.0;0.013;3399805675.0;2.644;4105610131.0;1.21;139.0;0.108;918120236.0;0.2701;1618026732.0;0.47590000000000005;1285.801451;1.097;1.171648424
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 64 -r 10 -t 4000000";"dxexmachina_phold";2;2;64;10;4000000;9511187.0;0.0125;761229067.0;589.862;197.0;0.153;16303.0;0.013;3372733906.0;2.613;4071890445.0;1.21;142.0;0.11;870509183.0;0.2581;1577805640.0;0.4678;1290.519861;1.095;1.178747607
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 64 -r 10 -t 4000000";"dxexmachina_phold";2;2;64;10;4000000;9077839.0;0.012;758908491.0;588.309;214.0;0.166;16277.0;0.013;3358377680.0;2.603;4101409189.0;1.22;142.0;0.11;897686678.0;0.2673;1583380215.0;0.4715;1289.983886;1.096;1.176461747
