 "command";"executable";"width";"depth";"end time" ;"branch-misses";"branch-misses (of all branches          (86.41%))";"branches";"branches (M/sec                    (85.84%))";"context-switches";"context-switches (K/sec)";"cpu-migrations";"cpu-migrations (M/sec)";"cycles";"cycles (GHz                      (87.41%))";"instructions";"instructions (insns per cycle)";"page-faults";"page-faults (K/sec)";"stalled-cycles-backend";"stalled-cycles-backend (backend  cycles idle     (70.61%))";"stalled-cycles-frontend";"stalled-cycles-frontend (frontend cycles idle     (84.64%))";"task-clock (msec)";"task-clock (CPUs utilized)";"time-elapsed (seconds)"
"./build/Benchmark/dxexmachina_devstone classic  -w 4 -d 1 -t 4000000";"dxexmachina_devstone";4;1;4000000;13187102.0;0.0184;717995436.0;726.112;63.0;0.064;8038.0;0.008;2687226186.0;2.718;2983705418.0;1.11;140.0;0.142;698088195.0;0.25980000000000003;1176453138.0;0.4378;988.82229;1.069;0.92476066
"./build/Benchmark/dxexmachina_devstone classic  -w 4 -d 1 -t 4000000";"dxexmachina_devstone";4;1;4000000;14071817.0;0.0195;722447626.0;660.444;47.0;0.043;8051.0;0.007;2726042905.0;2.492;2996761920.0;1.1;136.0;0.124;709310094.0;0.2602;1214535617.0;0.44549999999999995;1093.881571;1.07;1.022200697
"./build/Benchmark/dxexmachina_devstone classic  -w 4 -d 1 -t 4000000";"dxexmachina_devstone";4;1;4000000;13962820.0;0.0194;719927530.0;687.296;48.0;0.046;8024.0;0.008;2727213956.0;2.604;3015689005.0;1.11;140.0;0.134;706215162.0;0.259;1200306007.0;0.4401;1047.478163;1.068;0.980992677
"./build/Benchmark/dxexmachina_devstone classic  -w 4 -d 1 -t 4000000";"dxexmachina_devstone";4;1;4000000;13675199.0;0.019299999999999998;708593578.0;740.388;55.0;0.057;8019.0;0.008;2685395018.0;2.806;2927643153.0;1.09;135.0;0.141;692451476.0;0.2579;1191902503.0;0.44380000000000003;957.057703;1.065;0.898725333
"./build/Benchmark/dxexmachina_devstone classic  -w 4 -d 1 -t 4000000";"dxexmachina_devstone";4;1;4000000;14582885.0;0.0202;720862706.0;692.329;49.0;0.047;8046.0;0.008;2761930980.0;2.653;3007809140.0;1.09;140.0;0.134;732143789.0;0.2651;1230345815.0;0.44549999999999995;1041.21396;1.07;0.973226656
"./build/Benchmark/dxexmachina_devstone classic  -w 4 -d 1 -t 4000000";"dxexmachina_devstone";4;1;4000000;10848135.0;0.0158;684480899.0;645.98;48.0;0.045;8070.0;0.008;2577108236.0;2.432;2778419661.0;1.08;139.0;0.131;653853082.0;0.25370000000000004;1155248226.0;0.4483;1059.600015;1.074;0.986770002
"./build/Benchmark/dxexmachina_devstone classic  -w 4 -d 1 -t 4000000";"dxexmachina_devstone";4;1;4000000;9475806.0;0.0139;682845511.0;718.073;51.0;0.054;8073.0;0.008;2559052154.0;2.691;2805157409.0;1.1;140.0;0.147;644046467.0;0.25170000000000003;1152783337.0;0.45049999999999996;950.942276;1.075;0.884706925
"./build/Benchmark/dxexmachina_devstone classic  -w 4 -d 1 -t 4000000";"dxexmachina_devstone";4;1;4000000;11301159.0;0.0163;692927966.0;723.993;65.0;0.068;8036.0;0.008;2640002460.0;2.758;2850041504.0;1.08;140.0;0.146;700290329.0;0.26530000000000004;1223677111.0;0.4635;957.091762;1.071;0.893426974
"./build/Benchmark/dxexmachina_devstone classic  -w 4 -d 1 -t 4000000";"dxexmachina_devstone";4;1;4000000;13528535.0;0.018799999999999997;718221354.0;714.312;58.0;0.058;8021.0;0.008;2723071084.0;2.708;2980103814.0;1.09;135.0;0.134;711856956.0;0.2614;1220710124.0;0.4483;1005.473455;1.071;0.938447489
"./build/Benchmark/dxexmachina_devstone classic  -w 4 -d 1 -t 4000000";"dxexmachina_devstone";4;1;4000000;10913259.0;0.0158;689434988.0;575.059;51.0;0.043;8064.0;0.007;2571568942.0;2.145;2804594867.0;1.09;135.0;0.113;657394611.0;0.2556;1154458803.0;0.4489;1198.894705;1.078;1.112615092
"./build/Benchmark/dxexmachina_devstone classic  -w 4 -d 1 -t 4000000";"dxexmachina_devstone";4;1;4000000;13861799.0;0.019299999999999998;719293735.0;689.862;50.0;0.048;8077.0;0.008;2722597241.0;2.611;2984469896.0;1.1;139.0;0.133;722143799.0;0.2652;1246112060.0;0.45770000000000005;1042.662861;1.069;0.975137289
"./build/Benchmark/dxexmachina_devstone classic  -w 4 -d 1 -t 4000000";"dxexmachina_devstone";4;1;4000000;11054788.0;0.016;690262142.0;686.818;45.0;0.045;8065.0;0.008;2592340671.0;2.579;2837499514.0;1.09;136.0;0.135;665982712.0;0.2569;1169189750.0;0.451;1005.015028;1.074;0.935336553
"./build/Benchmark/dxexmachina_devstone classic  -w 4 -d 1 -t 4000000";"dxexmachina_devstone";4;1;4000000;10431391.0;0.0152;685035159.0;689.427;49.0;0.049;8072.0;0.008;2580161730.0;2.597;2822056416.0;1.09;136.0;0.137;653208589.0;0.2532;1169099752.0;0.4531;993.629742;1.074;0.925459944
"./build/Benchmark/dxexmachina_devstone classic  -w 4 -d 1 -t 4000000";"dxexmachina_devstone";4;1;4000000;9873599.0;0.0144;687443668.0;654.992;54.0;0.051;8027.0;0.008;2588519567.0;2.466;2836123070.0;1.1;137.0;0.131;664354148.0;0.25670000000000004;1174768592.0;0.45380000000000004;1049.544812;1.075;0.976502807
"./build/Benchmark/dxexmachina_devstone classic  -w 4 -d 1 -t 4000000";"dxexmachina_devstone";4;1;4000000;12992939.0;0.0184;706497577.0;695.746;58.0;0.057;8026.0;0.008;2660618999.0;2.62;2927675339.0;1.1;141.0;0.139;681479112.0;0.2561;1183748630.0;0.4449;1015.452865;1.07;0.948803486
"./build/Benchmark/dxexmachina_devstone classic  -w 4 -d 1 -t 4000000";"dxexmachina_devstone";4;1;4000000;15094545.0;0.0208;727166540.0;738.847;56.0;0.057;8021.0;0.008;2760144892.0;2.804;3028927800.0;1.1;141.0;0.143;722289665.0;0.26170000000000004;1222104510.0;0.4428;984.19093;1.069;0.920624071
"./build/Benchmark/dxexmachina_devstone classic  -w 4 -d 1 -t 4000000";"dxexmachina_devstone";4;1;4000000;11870997.0;0.0175;678205504.0;686.075;60.0;0.061;8083.0;0.008;2598272273.0;2.628;2786092891.0;1.07;139.0;0.141;675213055.0;0.25989999999999996;1184238507.0;0.4558;988.529127;1.071;0.922866492
"./build/Benchmark/dxexmachina_devstone classic  -w 4 -d 1 -t 4000000";"dxexmachina_devstone";4;1;4000000;15022956.0;0.0208;721690141.0;676.514;45.0;0.042;8058.0;0.008;2711091357.0;2.541;3007730360.0;1.11;140.0;0.131;711416670.0;0.26239999999999997;1206034951.0;0.4449;1066.778392;1.07;0.996650081
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 2 -t 4000000";"dxexmachina_devstone";2;2;4000000;12924701.0;0.0184;702047383.0;690.488;47.0;0.046;8010.0;0.008;2641299474.0;2.598;2886188513.0;1.09;137.0;0.135;684347927.0;0.2591;1200148987.0;0.45439999999999997;1016.740444;1.071;0.948953712
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 2 -t 4000000";"dxexmachina_devstone";2;2;4000000;11922488.0;0.0174;684456260.0;749.17;66.0;0.072;8017.0;0.009;2563409435.0;2.806;2792414628.0;1.09;140.0;0.153;645627768.0;0.2519;1140251689.0;0.4448;913.619011;1.07;0.854086187
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 2 -t 4000000";"dxexmachina_devstone";2;2;4000000;14494451.0;0.020099999999999996;721724206.0;681.352;43.0;0.041;8069.0;0.008;2717174137.0;2.565;2995578821.0;1.1;136.0;0.128;711589467.0;0.2619;1218285134.0;0.4484;1059.253391;1.072;0.988426777
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 2 -t 4000000";"dxexmachina_devstone";2;2;4000000;10977503.0;0.0158;696357537.0;720.98;49.0;0.051;8057.0;0.008;2640311155.0;2.734;2856729726.0;1.08;141.0;0.146;685258365.0;0.2595;1197199496.0;0.4534;965.849199;1.071;0.901567094
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 2 -t 4000000";"dxexmachina_devstone";2;2;4000000;10384586.0;0.015;690758955.0;710.437;49.0;0.05;8006.0;0.008;2591925790.0;2.666;2822572650.0;1.09;139.0;0.143;667096181.0;0.25739999999999996;1184941849.0;0.4572;972.301642;1.074;0.905510928
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 2 -t 4000000";"dxexmachina_devstone";2;2;4000000;14585531.0;0.0202;721188133.0;722.195;63.0;0.063;8015.0;0.008;2709059293.0;2.713;2999837801.0;1.11;139.0;0.139;690546027.0;0.25489999999999996;1185594987.0;0.4376;998.606508;1.068;0.934682198
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 2 -t 4000000";"dxexmachina_devstone";2;2;4000000;10121921.0;0.0149;678718924.0;750.059;48.0;0.053;8027.0;0.009;2543992299.0;2.811;2776864558.0;1.09;140.0;0.155;645911984.0;0.2539;1136948325.0;0.44689999999999996;904.887664;1.072;0.844324729
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 2 -t 4000000";"dxexmachina_devstone";2;2;4000000;15265443.0;0.021099999999999997;722879567.0;664.951;56.0;0.052;8039.0;0.007;2721072589.0;2.503;2986342733.0;1.1;139.0;0.128;707014179.0;0.25980000000000003;1201587610.0;0.4416;1087.117807;1.07;1.016414597
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 2 -t 4000000";"dxexmachina_devstone";2;2;4000000;11310515.0;0.0161;701135954.0;750.357;56.0;0.06;8027.0;0.009;2607421103.0;2.79;2875680195.0;1.1;138.0;0.148;650995922.0;0.24969999999999998;1165675761.0;0.4471;934.40314;1.075;0.8690456
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 2 -t 4000000";"dxexmachina_devstone";2;2;4000000;10844315.0;0.0159;683196452.0;712.33;64.0;0.067;8033.0;0.008;2578262123.0;2.688;2814222498.0;1.09;140.0;0.146;671760946.0;0.2605;1170707401.0;0.45409999999999995;959.101248;1.073;0.893971811
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 2 -t 4000000";"dxexmachina_devstone";2;2;4000000;13242661.0;0.0187;709694039.0;746.217;39.0;0.041;8015.0;0.008;2687399408.0;2.826;2937771121.0;1.09;136.0;0.143;694522822.0;0.2584;1195823592.0;0.445;951.056046;1.071;0.887915312
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 2 -t 4000000";"dxexmachina_devstone";2;2;4000000;12877412.0;0.018600000000000002;690526779.0;716.716;53.0;0.055;8056.0;0.008;2632862645.0;2.733;2853595600.0;1.08;137.0;0.142;686166194.0;0.2606;1193266832.0;0.4532;963.460046;1.075;0.896480993
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 2 -t 4000000";"dxexmachina_devstone";2;2;4000000;10865435.0;0.0159;683662080.0;669.51;42.0;0.041;8057.0;0.008;2535655877.0;2.483;2787550967.0;1.1;139.0;0.136;634080761.0;0.2501;1135235236.0;0.44770000000000004;1021.138558;1.078;0.947647698
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 2 -t 4000000";"dxexmachina_devstone";2;2;4000000;14989063.0;0.0207;722428739.0;669.253;38.0;0.035;8047.0;0.007;2732748944.0;2.532;2979568892.0;1.09;136.0;0.126;701546738.0;0.25670000000000004;1195559173.0;0.4375;1079.456072;1.072;1.006600048
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 2 -t 4000000";"dxexmachina_devstone";2;2;4000000;12208271.0;0.0175;699420137.0;693.88;47.0;0.047;8072.0;0.008;2660331621.0;2.639;2914540852.0;1.1;140.0;0.139;678384715.0;0.255;1177264081.0;0.4425;1007.984462;1.073;0.939379135
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 2 -t 4000000";"dxexmachina_devstone";2;2;4000000;11951619.0;0.0173;691019940.0;668.223;42.0;0.041;8056.0;0.008;2616391382.0;2.53;2860748661.0;1.09;139.0;0.134;682148104.0;0.2607;1180620677.0;0.4512;1034.116208;1.072;0.964752138
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 2 -t 4000000";"dxexmachina_devstone";2;2;4000000;13255436.0;0.018799999999999997;704348854.0;709.467;55.0;0.055;8013.0;0.008;2647610911.0;2.667;2905020318.0;1.1;140.0;0.141;672532511.0;0.254;1166184611.0;0.44049999999999995;992.785935;1.073;0.925494805
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 2 -t 4000000";"dxexmachina_devstone";2;2;4000000;13125912.0;0.0181;724237920.0;705.786;38.0;0.037;8019.0;0.008;2699441065.0;2.631;3007561034.0;1.11;140.0;0.136;694850182.0;0.25739999999999996;1187115573.0;0.43979999999999997;1026.14388;1.069;0.960049147
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 2 -t 4000000";"dxexmachina_devstone";2;2;4000000;11432286.0;0.0168;678625052.0;696.498;58.0;0.06;8037.0;0.008;2584963791.0;2.653;2809944190.0;1.09;136.0;0.14;665905498.0;0.2576;1169218192.0;0.4523;974.338512;1.071;0.909707821
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 2 -t 4000000";"dxexmachina_devstone";2;2;4000000;10087543.0;0.0149;677399871.0;696.594;54.0;0.056;8064.0;0.008;2520260638.0;2.592;2763431045.0;1.1;139.0;0.143;641924019.0;0.2547;1132639429.0;0.44939999999999997;972.446405;1.076;0.904050244
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 2 -t 4000000";"dxexmachina_devstone";2;2;4000000;10652630.0;0.0158;673849106.0;644.315;55.0;0.053;8085.0;0.008;2562004611.0;2.45;2758590592.0;1.08;137.0;0.131;650906470.0;0.2541;1151364108.0;0.44939999999999997;1045.837385;1.076;0.97175568
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 2 -t 4000000";"dxexmachina_devstone";2;2;4000000;15111857.0;0.021;718928038.0;688.232;48.0;0.046;8043.0;0.008;2721018091.0;2.605;2994886208.0;1.1;136.0;0.13;704377734.0;0.2589;1199187632.0;0.4407;1044.601398;1.068;0.977657719
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 2 -t 4000000";"dxexmachina_devstone";2;2;4000000;10055752.0;0.0147;685937390.0;722.832;71.0;0.075;8021.0;0.008;2546090267.0;2.683;2827381412.0;1.11;138.0;0.145;634379336.0;0.2492;1139554624.0;0.4476;948.958208;1.072;0.884855517
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 2 -t 4000000";"dxexmachina_devstone";2;2;4000000;12787087.0;0.0182;701575060.0;659.317;47.0;0.044;8064.0;0.008;2622130976.0;2.464;2890886174.0;1.1;138.0;0.13;676634005.0;0.258;1189639816.0;0.4537;1064.093076;1.075;0.989459093
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 2 -t 4000000";"dxexmachina_devstone";2;2;4000000;10641183.0;0.0154;689068369.0;643.337;57.0;0.053;8055.0;0.008;2557484862.0;2.388;2837195546.0;1.11;139.0;0.13;639340996.0;0.25;1144853337.0;0.4476;1071.085168;1.074;0.997329461
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 2 -t 4000000";"dxexmachina_devstone";2;2;4000000;10101490.0;0.0147;684850566.0;628.427;60.0;0.055;8084.0;0.007;2567122982.0;2.356;2806949827.0;1.09;141.0;0.129;660128052.0;0.2571;1171245087.0;0.4562;1089.785235;1.077;1.012299303
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 2 -t 4000000";"dxexmachina_devstone";2;2;4000000;10680719.0;0.015600000000000001;683821975.0;729.595;65.0;0.069;8088.0;0.009;2557969465.0;2.729;2769953261.0;1.08;137.0;0.146;632719538.0;0.24739999999999998;1148492768.0;0.449;937.262718;1.074;0.872339655
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 2 -t 4000000";"dxexmachina_devstone";2;2;4000000;11243227.0;0.016399999999999998;685050210.0;691.118;52.0;0.052;8068.0;0.008;2570672991.0;2.593;2792313816.0;1.09;142.0;0.143;657166792.0;0.2556;1157884245.0;0.45039999999999997;991.22076;1.074;0.922721383
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 2 -t 4000000";"dxexmachina_devstone";2;2;4000000;12969331.0;0.018500000000000003;699228165.0;730.759;53.0;0.055;8054.0;0.008;2642318271.0;2.761;2886896877.0;1.09;140.0;0.146;686347952.0;0.25980000000000003;1189379471.0;0.4501;956.852287;1.072;0.892398859
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 2 -t 4000000";"dxexmachina_devstone";2;2;4000000;9772691.0;0.0143;681169513.0;649.639;38.0;0.036;8051.0;0.008;2543876158.0;2.426;2819308670.0;1.11;141.0;0.134;645155534.0;0.2536;1149436727.0;0.4518;1048.535414;1.079;0.971365544
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 2 -t 4000000";"dxexmachina_devstone";2;2;4000000;10725653.0;0.015700000000000002;682864163.0;737.961;66.0;0.071;8042.0;0.009;2576861491.0;2.785;2793025226.0;1.08;141.0;0.152;662230124.0;0.257;1162981077.0;0.45130000000000003;925.339454;1.07;0.864581397
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 2 -t 4000000";"dxexmachina_devstone";2;2;4000000;12890297.0;0.0184;701458107.0;645.714;50.0;0.046;8071.0;0.007;2708494745.0;2.493;2913344429.0;1.08;136.0;0.125;741757413.0;0.27390000000000003;1237894704.0;0.457;1086.329362;1.071;1.0143754
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 2 -t 4000000";"dxexmachina_devstone";2;2;4000000;15029800.0;0.0209;717505310.0;677.394;30.0;0.028;8039.0;0.008;2703064907.0;2.552;2990598991.0;1.11;137.0;0.129;692386747.0;0.2561;1178404063.0;0.436;1059.213972;1.07;0.990220884
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 2 -t 4000000";"dxexmachina_devstone";2;2;4000000;9933808.0;0.0146;682046321.0;701.752;76.0;0.078;8045.0;0.008;2545120994.0;2.619;2777959901.0;1.09;141.0;0.145;648317641.0;0.2547;1156050960.0;0.4542;971.919416;1.07;0.908056942
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 2 -t 4000000";"dxexmachina_devstone";2;2;4000000;10290057.0;0.015;685298402.0;671.818;48.0;0.047;8073.0;0.008;2515839526.0;2.466;2785024295.0;1.11;140.0;0.137;617803841.0;0.24559999999999998;1103478025.0;0.4386;1020.064821;1.074;0.949592591
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 2 -t 4000000";"dxexmachina_devstone";2;2;4000000;10678298.0;0.0155;688459051.0;630.099;42.0;0.038;8063.0;0.007;2554589585.0;2.338;2806845636.0;1.1;142.0;0.13;646821775.0;0.2532;1158020868.0;0.4533;1092.620449;1.077;1.014503419
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 2 -t 4000000";"dxexmachina_devstone";2;2;4000000;13489554.0;0.018799999999999997;715671220.0;737.065;53.0;0.055;8039.0;0.008;2695110501.0;2.776;2987975631.0;1.11;139.0;0.143;695451747.0;0.258;1183886217.0;0.4393;970.974265;1.068;0.909008152
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 2 -t 4000000";"dxexmachina_devstone";2;2;4000000;12871232.0;0.018500000000000003;696000634.0;638.104;52.0;0.048;8059.0;0.007;2616438821.0;2.399;2837035656.0;1.08;141.0;0.129;659490039.0;0.2521;1161182177.0;0.44380000000000003;1090.73275;1.074;1.015820258
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 2 -t 4000000";"dxexmachina_devstone";2;2;4000000;12009698.0;0.0171;703383957.0;699.954;56.0;0.056;8037.0;0.008;2625547480.0;2.613;2889911608.0;1.1;140.0;0.139;674256665.0;0.2568;1171793119.0;0.44630000000000003;1004.900111;1.073;0.936497974
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 2 -t 4000000";"dxexmachina_devstone";2;2;4000000;11936187.0;0.0169;704991246.0;633.288;40.0;0.036;8059.0;0.007;2617411652.0;2.351;2903252140.0;1.11;141.0;0.127;658493826.0;0.2516;1160462325.0;0.4434;1113.22445;1.077;1.033999756
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 2 -t 4000000";"dxexmachina_devstone";2;2;4000000;10884486.0;0.016;681812913.0;752.543;68.0;0.075;8007.0;0.009;2558363141.0;2.824;2786168813.0;1.09;139.0;0.153;652642829.0;0.2551;1150871172.0;0.4498;906.011421;1.067;0.849188376
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 2 -t 4000000";"dxexmachina_devstone";2;2;4000000;10931207.0;0.016;683799427.0;710.611;62.0;0.064;8097.0;0.008;2538402223.0;2.638;2804854175.0;1.1;142.0;0.148;654792191.0;0.258;1155238396.0;0.4551;962.269111;1.076;0.893977458
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 2 -t 4000000";"dxexmachina_devstone";2;2;4000000;10077115.0;0.0149;677855117.0;707.513;50.0;0.052;8066.0;0.008;2536980888.0;2.648;2764938926.0;1.09;139.0;0.145;652562778.0;0.2572;1162940531.0;0.45840000000000003;958.081719;1.074;0.892075809
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 2 -t 4000000";"dxexmachina_devstone";2;2;4000000;13751530.0;0.0191;720140418.0;749.539;59.0;0.061;8040.0;0.008;2676249881.0;2.786;2965088706.0;1.11;139.0;0.145;685320366.0;0.2561;1179635274.0;0.44079999999999997;960.778184;1.067;0.90056595
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 2 -t 4000000";"dxexmachina_devstone";2;2;4000000;10480107.0;0.015300000000000001;683149385.0;690.574;43.0;0.043;8067.0;0.008;2569759516.0;2.598;2791966190.0;1.09;137.0;0.138;663890933.0;0.2583;1185573242.0;0.46140000000000003;989.248906;1.074;0.92120692
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 2 -t 4000000";"dxexmachina_devstone";2;2;4000000;12334459.0;0.0172;715176283.0;727.727;50.0;0.051;8020.0;0.008;2632778721.0;2.679;2949859848.0;1.12;140.0;0.142;675868558.0;0.25670000000000004;1191172657.0;0.4524;982.753596;1.073;0.916175029
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 2 -t 4000000";"dxexmachina_devstone";2;2;4000000;10335919.0;0.0149;693063542.0;574.847;40.0;0.033;8049.0;0.007;2592483486.0;2.15;2864421764.0;1.1;141.0;0.117;665393039.0;0.25670000000000004;1178960374.0;0.4548;1205.649014;1.079;1.116941465
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 2 -t 4000000";"dxexmachina_devstone";2;2;4000000;12537788.0;0.0182;687648668.0;596.149;46.0;0.04;8068.0;0.007;2618861981.0;2.27;2834633163.0;1.08;136.0;0.118;682292933.0;0.2605;1209366357.0;0.4618;1153.48502;1.077;1.070715368
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 2 -t 4000000";"dxexmachina_devstone";2;2;4000000;11879781.0;0.0169;703419964.0;726.721;71.0;0.073;8009.0;0.008;2607563554.0;2.694;2902556469.0;1.11;141.0;0.146;659649188.0;0.253;1145983478.0;0.4395;967.936495;1.071;0.90369359
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 2 -t 4000000";"dxexmachina_devstone";2;2;4000000;12584608.0;0.018000000000000002;699135640.0;627.767;62.0;0.056;8038.0;0.007;2675524489.0;2.402;2903163559.0;1.09;141.0;0.127;712260831.0;0.2662;1224992006.0;0.4579;1113.686379;1.072;1.038480766
"./build/Benchmark/dxexmachina_devstone classic  -w 3 -d 2 -t 4000000";"dxexmachina_devstone";3;2;4000000;18437165.0;0.0175;1054580757.0;806.831;5.0;0.004;8003.0;0.006;3746656795.0;2.866;4328815379.0;1.16;142.0;0.109;882005244.0;0.2354;1573813809.0;0.4201;1307.065513;1.052;1.242712362
"./build/Benchmark/dxexmachina_devstone classic  -w 3 -d 2 -t 4000000";"dxexmachina_devstone";3;2;4000000;18070435.0;0.0171;1054330816.0;761.718;11.0;0.008;8008.0;0.006;3733613039.0;2.697;4326052811.0;1.16;143.0;0.103;891306337.0;0.23870000000000002;1588621538.0;0.4255;1384.147698;1.053;1.3149008
"./build/Benchmark/dxexmachina_devstone classic  -w 3 -d 2 -t 4000000";"dxexmachina_devstone";3;2;4000000;16732027.0;0.0158;1057927799.0;778.437;4.0;0.003;8003.0;0.006;3714638262.0;2.733;4346091119.0;1.17;144.0;0.106;867704097.0;0.2336;1567340412.0;0.4219;1359.041364;1.054;1.289050824
"./build/Benchmark/dxexmachina_devstone classic  -w 3 -d 2 -t 4000000";"dxexmachina_devstone";3;2;4000000;20370472.0;0.019299999999999998;1053373876.0;799.75;11.0;0.008;8003.0;0.006;3778472558.0;2.869;4321620511.0;1.14;143.0;0.109;917663159.0;0.2429;1628788991.0;0.4311;1317.128309;1.051;1.252844759
"./build/Benchmark/dxexmachina_devstone classic  -w 3 -d 2 -t 4000000";"dxexmachina_devstone";3;2;4000000;18716997.0;0.0177;1056391232.0;806.336;21.0;0.016;8006.0;0.006;3755266837.0;2.866;4338858316.0;1.16;140.0;0.107;886642412.0;0.2361;1581556168.0;0.42119999999999996;1310.113074;1.051;1.246928884
"./build/Benchmark/dxexmachina_devstone classic  -w 3 -d 2 -t 4000000";"dxexmachina_devstone";3;2;4000000;20246306.0;0.0192;1053652908.0;763.043;17.0;0.012;8006.0;0.006;3780237119.0;2.738;4321503827.0;1.14;143.0;0.104;911135521.0;0.24100000000000002;1601934266.0;0.4238;1380.85578;1.053;1.311300175
"./build/Benchmark/dxexmachina_devstone classic  -w 3 -d 2 -t 4000000";"dxexmachina_devstone";3;2;4000000;17158980.0;0.0163;1055384841.0;805.507;6.0;0.005;8004.0;0.006;3749390013.0;2.862;4333534929.0;1.16;144.0;0.11;903778237.0;0.24100000000000002;1602515105.0;0.4274;1310.212353;1.053;1.244081337
"./build/Benchmark/dxexmachina_devstone classic  -w 3 -d 2 -t 4000000";"dxexmachina_devstone";3;2;4000000;17655023.0;0.0168;1052320984.0;799.944;19.0;0.014;8005.0;0.006;3739569125.0;2.843;4323370601.0;1.16;144.0;0.109;886697805.0;0.2371;1584620619.0;0.42369999999999997;1315.49353;1.05;1.252887491
"./build/Benchmark/dxexmachina_devstone classic  -w 3 -d 2 -t 4000000";"dxexmachina_devstone";3;2;4000000;19367502.0;0.0183;1056846696.0;779.987;5.0;0.004;8003.0;0.006;3781855561.0;2.791;4340063000.0;1.15;139.0;0.103;908338904.0;0.2402;1611993336.0;0.42619999999999997;1354.954666;1.054;1.28613458
"./build/Benchmark/dxexmachina_devstone classic  -w 3 -d 2 -t 4000000";"dxexmachina_devstone";3;2;4000000;16446409.0;0.015600000000000001;1053255181.0;807.365;8.0;0.006;8006.0;0.006;3727616421.0;2.857;4327175824.0;1.16;143.0;0.11;892589345.0;0.2395;1598668944.0;0.4289;1304.559132;1.052;1.240202619
"./build/Benchmark/dxexmachina_devstone classic  -w 3 -d 2 -t 4000000";"dxexmachina_devstone";3;2;4000000;17246302.0;0.0163;1058755348.0;778.37;6.0;0.004;8004.0;0.006;3732185704.0;2.744;4348754553.0;1.17;143.0;0.105;880133857.0;0.23579999999999998;1573210492.0;0.4215;1360.22187;1.053;1.291625517
"./build/Benchmark/dxexmachina_devstone classic  -w 3 -d 2 -t 4000000";"dxexmachina_devstone";3;2;4000000;17622083.0;0.0167;1054523300.0;807.664;9.0;0.007;8002.0;0.006;3746888210.0;2.87;4327107933.0;1.15;140.0;0.107;891782457.0;0.23800000000000002;1597188166.0;0.4263;1305.64673;1.052;1.241655354
