 "command";"executable";"width";"depth";"end time" ;"branch-misses";"branch-misses (of all branches          (86.41%))";"branches";"branches (M/sec                    (85.84%))";"context-switches";"context-switches (K/sec)";"cpu-migrations";"cpu-migrations (M/sec)";"cycles";"cycles (GHz                      (87.41%))";"instructions";"instructions (insns per cycle)";"page-faults";"page-faults (K/sec)";"stalled-cycles-backend";"stalled-cycles-backend (backend  cycles idle     (70.61%))";"stalled-cycles-frontend";"stalled-cycles-frontend (frontend cycles idle     (84.64%))";"task-clock (msec)";"task-clock (CPUs utilized)";"time-elapsed (seconds)"
"./build/Benchmark/dxexmachina_devstone classic  -w 3 -d 1 -t 4000000";"dxexmachina_devstone";3;1;4000000;7825924.0;0.0149;525955323.0;631.698;79.0;0.095;8071.0;0.01;2026006622.0;2.433;2196938970.0;1.08;138.0;0.166;538435787.0;0.2658;945532995.0;0.4667;832.606044;1.088;0.765126694
"./build/Benchmark/dxexmachina_devstone classic  -w 3 -d 1 -t 4000000";"dxexmachina_devstone";3;1;4000000;7689109.0;0.0146;527576757.0;598.082;71.0;0.08;8050.0;0.009;2049024422.0;2.323;2204063090.0;1.08;138.0;0.156;558092774.0;0.2724;959185277.0;0.4681;882.114603;1.09;0.809308272
"./build/Benchmark/dxexmachina_devstone classic  -w 3 -d 1 -t 4000000";"dxexmachina_devstone";3;1;4000000;8376838.0;0.0161;520749555.0;640.395;53.0;0.065;8096.0;0.01;2046375604.0;2.517;2161008666.0;1.06;139.0;0.171;550066834.0;0.2688;986457773.0;0.48210000000000003;813.169224;1.087;0.747950055
"./build/Benchmark/dxexmachina_devstone classic  -w 3 -d 1 -t 4000000";"dxexmachina_devstone";3;1;4000000;8822406.0;0.0166;531588361.0;679.867;60.0;0.077;8079.0;0.01;2059262632.0;2.634;2178173529.0;1.06;138.0;0.176;534842334.0;0.2597;940367972.0;0.4567;781.900255;1.09;0.717432034
"./build/Benchmark/dxexmachina_devstone classic  -w 3 -d 1 -t 4000000";"dxexmachina_devstone";3;1;4000000;9101380.0;0.0171;533469720.0;650.74;63.0;0.077;8096.0;0.01;2099114278.0;2.561;2205699612.0;1.05;134.0;0.163;573974927.0;0.2734;996414734.0;0.4747;819.789416;1.093;0.750142199
"./build/Benchmark/dxexmachina_devstone classic  -w 3 -d 1 -t 4000000";"dxexmachina_devstone";3;1;4000000;7710128.0;0.014499999999999999;530566813.0;669.836;97.0;0.122;8030.0;0.01;2058622580.0;2.599;2204442387.0;1.07;138.0;0.174;536499515.0;0.2606;943332451.0;0.4582;792.084436;1.083;0.73169096
"./build/Benchmark/dxexmachina_devstone classic  -w 3 -d 1 -t 4000000";"dxexmachina_devstone";3;1;4000000;8114184.0;0.0155;524710466.0;668.511;63.0;0.08;8091.0;0.01;2056931076.0;2.621;2190218285.0;1.06;138.0;0.176;562863337.0;0.2736;958009931.0;0.4657;784.894646;1.087;0.72209435
"./build/Benchmark/dxexmachina_devstone classic  -w 3 -d 1 -t 4000000";"dxexmachina_devstone";3;1;4000000;8846513.0;0.0168;525148057.0;631.206;61.0;0.073;8098.0;0.01;2080111435.0;2.5;2177974023.0;1.05;137.0;0.165;557132282.0;0.26780000000000004;963513000.0;0.4632;831.975787;1.09;0.763176669
"./build/Benchmark/dxexmachina_devstone classic  -w 3 -d 1 -t 4000000";"dxexmachina_devstone";3;1;4000000;8667082.0;0.0163;530294300.0;687.194;110.0;0.143;8026.0;0.01;2065221702.0;2.676;2196803242.0;1.06;138.0;0.179;550434284.0;0.26649999999999996;957846162.0;0.46380000000000005;771.681185;1.08;0.714849412
"./build/Benchmark/dxexmachina_devstone classic  -w 3 -d 1 -t 4000000";"dxexmachina_devstone";3;1;4000000;7939304.0;0.0151;524144352.0;617.475;60.0;0.071;8095.0;0.01;2070976687.0;2.44;2185912750.0;1.06;139.0;0.164;548013702.0;0.2646;965792017.0;0.46630000000000005;848.850605;1.094;0.775910927
