 "command";"executable";"width";"end time" ;"branch-misses";"branch-misses (of all branches          (85.44%))";"branches";"branches (M/sec                    (86.37%))";"context-switches";"context-switches (K/sec)";"cpu-migrations";"cpu-migrations (M/sec)";"cycles";"cycles (GHz                      (85.47%))";"instructions";"instructions (insns per cycle)";"page-faults";"page-faults (K/sec)";"stalled-cycles-backend";"stalled-cycles-backend (backend  cycles idle     (70.95%))";"stalled-cycles-frontend";"stalled-cycles-frontend (frontend cycles idle     (84.95%))";"task-clock (msec)";"task-clock (CPUs utilized)";"time-elapsed (seconds)"
"./build/Benchmark/dxexmachina_interconnect classic  -w 8 -t 4000000";"dxexmachina_interconnect";8;4000000;40011467.0;0.008;4985551094.0;860.682;10.0;0.002;8003.0;0.001;16327194916.0;2.819;18565365825.0;1.14;146.0;0.025;3757554226.0;0.23010000000000003;7490392238.0;0.45880000000000004;5792.560267;1.019;5.683325181
"./build/Benchmark/dxexmachina_interconnect classic  -w 8 -t 4000000";"dxexmachina_interconnect";8;4000000;33819212.0;0.0068000000000000005;4987608073.0;897.767;11.0;0.002;8004.0;0.001;15964704730.0;2.874;18574167629.0;1.16;144.0;0.026;3611365601.0;0.2262;7242857260.0;0.4537;5555.5716;1.018;5.458718685
"./build/Benchmark/dxexmachina_interconnect classic  -w 8 -t 4000000";"dxexmachina_interconnect";8;4000000;35381727.0;0.0070999999999999995;4991104113.0;927.167;9.0;0.002;8003.0;0.001;15899223172.0;2.954;18590075606.0;1.17;149.0;0.028;3561073645.0;0.22399999999999998;7163771379.0;0.4506;5383.178292;1.016;5.298914892
"./build/Benchmark/dxexmachina_interconnect classic  -w 8 -t 4000000";"dxexmachina_interconnect";8;4000000;39489938.0;0.0079;4988336688.0;899.253;9.0;0.002;8005.0;0.001;15967213705.0;2.878;18574425644.0;1.16;146.0;0.026;3612367101.0;0.2262;7207405330.0;0.4514;5547.202818;1.016;5.457579577
"./build/Benchmark/dxexmachina_interconnect classic  -w 8 -t 4000000";"dxexmachina_interconnect";8;4000000;37993557.0;0.0076;4993904780.0;908.712;12.0;0.002;8005.0;0.001;16073977142.0;2.925;18604409859.0;1.16;149.0;0.027;3648638742.0;0.22699999999999998;7277962174.0;0.45280000000000004;5495.584596;1.016;5.407708748
"./build/Benchmark/dxexmachina_interconnect classic  -w 8 -t 4000000";"dxexmachina_interconnect";8;4000000;33092248.0;0.0066;4989590260.0;903.455;12.0;0.002;8007.0;0.001;15946895344.0;2.887;18577803375.0;1.16;145.0;0.026;3632616278.0;0.2278;7305041804.0;0.4581;5522.788365;1.017;5.431942356
"./build/Benchmark/dxexmachina_interconnect classic  -w 8 -t 4000000";"dxexmachina_interconnect";8;4000000;36945630.0;0.0074;4990401947.0;878.013;15.0;0.003;8003.0;0.001;16094481275.0;2.832;18586057130.0;1.15;148.0;0.026;3621431069.0;0.225;7263692546.0;0.45130000000000003;5683.743434;1.013;5.610875535
"./build/Benchmark/dxexmachina_interconnect classic  -w 8 -t 4000000";"dxexmachina_interconnect";8;4000000;36923308.0;0.0074;4992547673.0;903.712;11.0;0.002;8005.0;0.001;16056789427.0;2.906;18597542218.0;1.16;147.0;0.027;3668447748.0;0.2285;7262821006.0;0.4523;5524.488601;1.016;5.436900232
"./build/Benchmark/dxexmachina_interconnect classic  -w 8 -t 4000000";"dxexmachina_interconnect";8;4000000;33509654.0;0.0067;4989044529.0;920.012;11.0;0.002;8003.0;0.001;15982244367.0;2.947;18580779799.0;1.16;145.0;0.027;3647677523.0;0.22820000000000001;7306464803.0;0.4572;5422.806664;1.016;5.339934604
"./build/Benchmark/dxexmachina_interconnect classic  -w 8 -t 4000000";"dxexmachina_interconnect";8;4000000;35938620.0;0.0072;4992058618.0;892.68;10.0;0.002;8005.0;0.001;16053861357.0;2.871;18586657385.0;1.16;148.0;0.026;3645992086.0;0.2271;7307505951.0;0.45520000000000005;5592.213193;1.018;5.495404141
"./build/Benchmark/dxexmachina_interconnect classic  -w 8 -t 4000000";"dxexmachina_interconnect";8;4000000;38135094.0;0.0076;4991867276.0;907.762;10.0;0.002;8005.0;0.001;16176569231.0;2.942;18595512954.0;1.15;148.0;0.027;3750454052.0;0.2318;7463042155.0;0.46130000000000004;5499.095004;1.016;5.410215431
"./build/Benchmark/dxexmachina_interconnect classic  -w 8 -t 4000000";"dxexmachina_interconnect";8;4000000;34099473.0;0.0068000000000000005;4988502552.0;889.893;25.0;0.004;8005.0;0.001;16044717252.0;2.862;18574613073.0;1.16;148.0;0.026;3673335528.0;0.2289;7308077930.0;0.45549999999999996;5605.735754;1.019;5.500849326
"./build/Benchmark/dxexmachina_interconnect classic  -w 8 -t 4000000";"dxexmachina_interconnect";8;4000000;36171998.0;0.0072;4990798694.0;900.382;11.0;0.002;8003.0;0.001;16014111126.0;2.889;18589786163.0;1.16;148.0;0.027;3657208913.0;0.2284;7279577080.0;0.4546;5542.979513;1.016;5.453603974
"./build/Benchmark/dxexmachina_interconnect classic  -w 8 -t 4000000";"dxexmachina_interconnect";8;4000000;35118844.0;0.006999999999999999;4994445685.0;919.568;10.0;0.002;8004.0;0.001;16027648315.0;2.951;18603448890.0;1.16;145.0;0.027;3621762247.0;0.226;7273431255.0;0.45380000000000004;5431.295037;1.016;5.34507285
"./build/Benchmark/dxexmachina_interconnect classic  -w 8 -t 4000000";"dxexmachina_interconnect";8;4000000;35167465.0;0.0070999999999999995;4987845175.0;912.65;11.0;0.002;8002.0;0.001;16150306858.0;2.955;18575179786.0;1.15;148.0;0.027;3713835248.0;0.23;7395029524.0;0.4579;5465.23602;1.015;5.38207274
"./build/Benchmark/dxexmachina_interconnect classic  -w 8 -t 4000000";"dxexmachina_interconnect";8;4000000;36193478.0;0.0073;4991792466.0;900.738;12.0;0.002;8002.0;0.001;16084783669.0;2.902;18593720939.0;1.16;145.0;0.026;3621246210.0;0.22510000000000002;7260073357.0;0.4514;5541.894514;1.016;5.452613974
"./build/Benchmark/dxexmachina_interconnect classic  -w 8 -t 4000000";"dxexmachina_interconnect";8;4000000;40204492.0;0.008100000000000001;4992946395.0;899.806;10.0;0.002;8003.0;0.001;16095981560.0;2.901;18598322448.0;1.16;146.0;0.026;3685588885.0;0.22899999999999998;7290738155.0;0.45299999999999996;5548.915134;1.018;5.451345808
"./build/Benchmark/dxexmachina_interconnect classic  -w 8 -t 4000000";"dxexmachina_interconnect";8;4000000;35605253.0;0.0070999999999999995;4990100918.0;909.23;9.0;0.002;8009.0;0.001;16208776774.0;2.953;18577359868.0;1.15;147.0;0.027;3746651475.0;0.2311;7496259684.0;0.4625;5488.26928;1.015;5.405108086
"./build/Benchmark/dxexmachina_interconnect classic  -w 8 -t 4000000";"dxexmachina_interconnect";8;4000000;33474730.0;0.0067;4992323845.0;922.203;10.0;0.002;8003.0;0.001;15940360870.0;2.945;18603560899.0;1.17;148.0;0.027;3609044741.0;0.22640000000000002;7241577570.0;0.4543;5413.475969;1.016;5.326715971
"./build/Benchmark/dxexmachina_interconnect classic  -w 8 -t 4000000";"dxexmachina_interconnect";8;4000000;42346697.0;0.0085;4991455147.0;919.954;10.0;0.002;8002.0;0.001;16053476440.0;2.959;18574877543.0;1.16;148.0;0.027;3654408873.0;0.22760000000000002;7243221547.0;0.4512;5425.767915;1.016;5.342483682
"./build/Benchmark/dxexmachina_interconnect classic  -w 8 -t 4000000";"dxexmachina_interconnect";8;4000000;32648518.0;0.006500000000000001;4985675005.0;897.238;10.0;0.002;8002.0;0.001;15977562364.0;2.875;18559090686.0;1.16;149.0;0.027;3614771041.0;0.2262;7251263541.0;0.45380000000000004;5556.692014;1.018;5.456949576
"./build/Benchmark/dxexmachina_interconnect classic  -w 8 -t 4000000";"dxexmachina_interconnect";8;4000000;39419102.0;0.0079;4987835016.0;878.534;37.0;0.007;8005.0;0.001;16015789143.0;2.821;18581988318.0;1.16;148.0;0.026;3630157252.0;0.2267;7240542209.0;0.4521;5677.451194;1.02;5.565510758
"./build/Benchmark/dxexmachina_interconnect classic  -w 8 -t 4000000";"dxexmachina_interconnect";8;4000000;38794883.0;0.0078000000000000005;4990087968.0;919.56;13.0;0.002;8003.0;0.001;15988376851.0;2.946;18572279429.0;1.16;144.0;0.027;3625747755.0;0.2268;7183745801.0;0.4493;5426.601567;1.016;5.342372153
"./build/Benchmark/dxexmachina_interconnect classic  -w 8 -t 4000000";"dxexmachina_interconnect";8;4000000;33133623.0;0.0066;4991085580.0;907.867;9.0;0.002;8005.0;0.001;16014087119.0;2.913;18582881868.0;1.16;148.0;0.027;3660639306.0;0.2286;7310817420.0;0.45649999999999996;5497.597908;1.016;5.412270476
"./build/Benchmark/dxexmachina_interconnect classic  -w 8 -t 4000000";"dxexmachina_interconnect";8;4000000;35252151.0;0.0070999999999999995;4993492368.0;925.152;10.0;0.002;8002.0;0.001;15938185512.0;2.953;18603464968.0;1.17;144.0;0.027;3598004195.0;0.2257;7222315200.0;0.4531;5397.483687;1.016;5.311726932
"./build/Benchmark/dxexmachina_interconnect classic  -w 8 -t 4000000";"dxexmachina_interconnect";8;4000000;33950407.0;0.0068000000000000005;4986180659.0;903.527;9.0;0.002;8003.0;0.001;15942205133.0;2.889;18567831465.0;1.16;148.0;0.027;3619522731.0;0.22699999999999998;7260873103.0;0.45539999999999997;5518.571783;1.018;5.422893137
"./build/Benchmark/dxexmachina_interconnect classic  -w 8 -t 4000000";"dxexmachina_interconnect";8;4000000;35183984.0;0.0070999999999999995;4988519671.0;910.537;12.0;0.002;8003.0;0.001;15986815072.0;2.918;18575496802.0;1.16;147.0;0.027;3590269707.0;0.22460000000000002;7235592187.0;0.4526;5478.656155;1.016;5.391298217
"./build/Benchmark/dxexmachina_interconnect classic  -w 8 -t 4000000";"dxexmachina_interconnect";8;4000000;34656340.0;0.0069;4991967433.0;919.378;11.0;0.002;8002.0;0.001;16008801149.0;2.948;18598080532.0;1.16;148.0;0.027;3639545751.0;0.2273;7273240021.0;0.4543;5429.725016;1.016;5.343139699
"./build/Benchmark/dxexmachina_interconnect classic  -w 8 -t 4000000";"dxexmachina_interconnect";8;4000000;35685185.0;0.0070999999999999995;4992684007.0;921.901;13.0;0.002;8004.0;0.001;15997597951.0;2.954;18600297806.0;1.16;148.0;0.027;3623287511.0;0.22649999999999998;7239101144.0;0.4525;5415.638516;1.016;5.331354004
"./build/Benchmark/dxexmachina_interconnect classic  -w 8 -t 4000000";"dxexmachina_interconnect";8;4000000;32316201.0;0.006500000000000001;4994352275.0;923.232;12.0;0.002;8002.0;0.001;15938905592.0;2.946;18602582192.0;1.17;145.0;0.027;3619181037.0;0.2271;7272034161.0;0.4562;5409.637128;1.017;5.321212596
"./build/Benchmark/dxexmachina_interconnect classic  -w 8 -t 4000000";"dxexmachina_interconnect";8;4000000;32912891.0;0.0066;4993191649.0;925.963;26.0;0.005;8003.0;0.001;15948648351.0;2.958;18599029927.0;1.17;144.0;0.027;3608038271.0;0.2262;7246898493.0;0.45439999999999997;5392.431481;1.016;5.307946222
"./build/Benchmark/dxexmachina_interconnect classic  -w 8 -t 4000000";"dxexmachina_interconnect";8;4000000;31311278.0;0.0063;4991339037.0;918.586;9.0;0.002;8002.0;0.001;15970883409.0;2.939;18584293215.0;1.16;147.0;0.027;3644192969.0;0.22820000000000001;7303740044.0;0.4573;5433.720176;1.016;5.347576447
"./build/Benchmark/dxexmachina_interconnect classic  -w 8 -t 4000000";"dxexmachina_interconnect";8;4000000;37630633.0;0.0075;4991726086.0;924.051;12.0;0.002;8004.0;0.001;15912876210.0;2.946;18591987087.0;1.17;149.0;0.028;3562619522.0;0.22390000000000002;7158377949.0;0.4498;5402.005639;1.016;5.317018603
"./build/Benchmark/dxexmachina_interconnect classic  -w 8 -t 4000000";"dxexmachina_interconnect";8;4000000;39184588.0;0.0079;4990802021.0;908.12;9.0;0.002;8003.0;0.001;16078036447.0;2.926;18583513079.0;1.16;145.0;0.026;3680330299.0;0.2289;7235132338.0;0.45;5495.751226;1.016;5.408691437
"./build/Benchmark/dxexmachina_interconnect classic  -w 8 -t 4000000";"dxexmachina_interconnect";8;4000000;37657511.0;0.0075;4990245518.0;888.006;10.0;0.002;8003.0;0.001;15984294017.0;2.844;18582145172.0;1.16;148.0;0.026;3600954210.0;0.2253;7210545861.0;0.4511;5619.610682;1.019;5.513354301
"./build/Benchmark/dxexmachina_interconnect classic  -w 8 -t 4000000";"dxexmachina_interconnect";8;4000000;32976864.0;0.0066;4988617499.0;922.195;14.0;0.003;8002.0;0.001;15917869335.0;2.943;18567388856.0;1.17;148.0;0.027;3578569966.0;0.2248;7217494424.0;0.4534;5409.502663;1.015;5.331485098
"./build/Benchmark/dxexmachina_interconnect classic  -w 8 -t 4000000";"dxexmachina_interconnect";8;4000000;38957313.0;0.0078000000000000005;4989069907.0;925.704;9.0;0.002;8003.0;0.001;15911169801.0;2.952;18581059366.0;1.17;145.0;0.027;3574299835.0;0.22460000000000002;7152334378.0;0.4495;5389.484582;1.016;5.305973688
"./build/Benchmark/dxexmachina_interconnect classic  -w 8 -t 4000000";"dxexmachina_interconnect";8;4000000;33555709.0;0.0067;4990547713.0;900.724;11.0;0.002;8003.0;0.001;15970007463.0;2.882;18587376162.0;1.16;148.0;0.027;3633642923.0;0.2275;7270313750.0;0.45520000000000005;5540.594138;1.017;5.447661558
"./build/Benchmark/dxexmachina_interconnect classic  -w 8 -t 4000000";"dxexmachina_interconnect";8;4000000;35520492.0;0.0070999999999999995;4994604529.0;914.974;10.0;0.002;8002.0;0.001;16048255398.0;2.94;18602949732.0;1.16;146.0;0.027;3664397760.0;0.22829999999999998;7296638721.0;0.4547;5458.738742;1.016;5.371024599
"./build/Benchmark/dxexmachina_interconnect classic  -w 8 -t 4000000";"dxexmachina_interconnect";8;4000000;35164616.0;0.006999999999999999;4993954378.0;924.35;11.0;0.002;8002.0;0.001;15924721499.0;2.948;18598657777.0;1.17;147.0;0.027;3599429443.0;0.226;7206360230.0;0.4525;5402.666438;1.016;5.317922197
"./build/Benchmark/dxexmachina_interconnect classic  -w 8 -t 4000000";"dxexmachina_interconnect";8;4000000;32871076.0;0.0066;4991948611.0;926.554;13.0;0.002;8003.0;0.001;15922510821.0;2.955;18588068185.0;1.17;147.0;0.027;3586546477.0;0.2253;7215623138.0;0.4532;5387.647797;1.016;5.302845075
"./build/Benchmark/dxexmachina_interconnect classic  -w 8 -t 4000000";"dxexmachina_interconnect";8;4000000;34969739.0;0.006999999999999999;4988970521.0;922.019;11.0;0.002;8002.0;0.001;15973074250.0;2.952;18577117075.0;1.16;148.0;0.027;3573633079.0;0.2237;7176302514.0;0.4493;5410.918781;1.016;5.327863984
"./build/Benchmark/dxexmachina_interconnect classic  -w 8 -t 4000000";"dxexmachina_interconnect";8;4000000;39901492.0;0.008;4990176039.0;905.053;10.0;0.002;8005.0;0.001;16123750717.0;2.924;18588552441.0;1.15;145.0;0.026;3695566129.0;0.22920000000000001;7319689738.0;0.45399999999999996;5513.683332;1.017;5.42334822
"./build/Benchmark/dxexmachina_interconnect classic  -w 16 -t 4000000";"dxexmachina_interconnect";16;4000000;233088232.0;0.0103;22574362554.0;972.051;35.0;0.002;8003.0;0.345;70512085576.0;3.036;82230119873.0;1.17;168.0;0.007;14661251396.0;0.2079;30279472132.0;0.4294;23223.433478;1.006;23.082002351
"./build/Benchmark/dxexmachina_interconnect classic  -w 16 -t 4000000";"dxexmachina_interconnect";16;4000000;242682942.0;0.0108;22569958138.0;966.098;75.0;0.003;8004.0;0.343;70636417851.0;3.024;82216663339.0;1.16;173.0;0.007;14635575702.0;0.2072;30135448500.0;0.4266;23361.97856;1.006;23.229873708
"./build/Benchmark/dxexmachina_interconnect classic  -w 16 -t 4000000";"dxexmachina_interconnect";16;4000000;248508487.0;0.011000000000000001;22572128679.0;957.174;32.0;0.001;8002.0;0.339;71063613210.0;3.013;82230130876.0;1.16;172.0;0.007;14905288231.0;0.2097;30497614524.0;0.4292;23582.059539;1.006;23.43987882
"./build/Benchmark/dxexmachina_interconnect classic  -w 16 -t 4000000";"dxexmachina_interconnect";16;4000000;258397342.0;0.011399999999999999;22573365445.0;948.313;33.0;0.001;8004.0;0.336;71021000850.0;2.984;82236432063.0;1.16;174.0;0.007;14624704957.0;0.2059;30206335058.0;0.4253;23803.715522;1.006;23.660337109
"./build/Benchmark/dxexmachina_interconnect classic  -w 16 -t 4000000";"dxexmachina_interconnect";16;4000000;234049078.0;0.0104;22575845507.0;966.599;155.0;0.007;8006.0;0.343;70863198219.0;3.034;82240961788.0;1.16;172.0;0.007;14850545366.0;0.2096;30433723615.0;0.42950000000000005;23355.952571;1.006;23.216817384
"./build/Benchmark/dxexmachina_interconnect classic  -w 16 -t 4000000";"dxexmachina_interconnect";16;4000000;238745218.0;0.0106;22570776763.0;972.721;33.0;0.001;8002.0;0.345;70526273371.0;3.039;82218725371.0;1.17;173.0;0.007;14661550644.0;0.2079;30161954907.0;0.4277;23203.760467;1.006;23.066051393
"./build/Benchmark/dxexmachina_interconnect classic  -w 16 -t 4000000";"dxexmachina_interconnect";16;4000000;265209831.0;0.011699999999999999;22572244511.0;962.267;33.0;0.001;8005.0;0.341;71267491945.0;3.038;82232870367.0;1.15;173.0;0.007;15050825242.0;0.2112;30667624414.0;0.4303;23457.370398;1.006;23.316835181
"./build/Benchmark/dxexmachina_interconnect classic  -w 16 -t 4000000";"dxexmachina_interconnect";16;4000000;247509915.0;0.011000000000000001;22575017049.0;968.282;33.0;0.001;8002.0;0.343;70860543651.0;3.039;82247978774.0;1.16;173.0;0.007;14781161448.0;0.2086;30305568353.0;0.4277;23314.497795;1.006;23.173797967
"./build/Benchmark/dxexmachina_interconnect classic  -w 16 -t 4000000";"dxexmachina_interconnect";16;4000000;252460935.0;0.011200000000000002;22569576257.0;969.269;74.0;0.003;8004.0;0.344;70780291283.0;3.04;82217401994.0;1.16;175.0;0.008;14720689395.0;0.20800000000000002;30213656405.0;0.4269;23285.153438;1.006;23.147711598
"./build/Benchmark/dxexmachina_interconnect classic  -w 16 -t 4000000";"dxexmachina_interconnect";16;4000000;250496838.0;0.0111;22571432948.0;962.692;155.0;0.007;8004.0;0.341;71346372248.0;3.043;82226453568.0;1.15;172.0;0.007;14918328771.0;0.2091;30362099498.0;0.42560000000000003;23446.172347;1.006;23.309214597
"./build/Benchmark/dxexmachina_interconnect classic  -w 16 -t 4000000";"dxexmachina_interconnect";16;4000000;233795061.0;0.0104;22570606342.0;972.255;34.0;0.001;8002.0;0.345;70407809474.0;3.033;82212025010.0;1.17;171.0;0.007;14684186615.0;0.2086;30291541698.0;0.4302;23214.697939;1.006;23.077318915
"./build/Benchmark/dxexmachina_interconnect classic  -w 16 -t 4000000";"dxexmachina_interconnect";16;4000000;239685551.0;0.0106;22570631236.0;957.396;33.0;0.001;8002.0;0.339;71804341302.0;3.046;82222193130.0;1.15;171.0;0.007;15384239447.0;0.2143;31493513423.0;0.4386;23575.02118;1.006;23.43695829
"./build/Benchmark/dxexmachina_interconnect classic  -w 16 -t 4000000";"dxexmachina_interconnect";16;4000000;257783367.0;0.011399999999999999;22575311140.0;971.86;32.0;0.001;8002.0;0.344;70618056665.0;3.04;82247835074.0;1.16;173.0;0.007;14681666052.0;0.2079;30144841993.0;0.4269;23228.970407;1.006;23.087432184
"./build/Benchmark/dxexmachina_interconnect classic  -w 16 -t 4000000";"dxexmachina_interconnect";16;4000000;237845009.0;0.0105;22568774146.0;965.329;35.0;0.001;8002.0;0.342;70972703211.0;3.036;82215331549.0;1.16;173.0;0.007;14893836662.0;0.20989999999999998;30528165336.0;0.4301;23379.362887;1.006;23.239357099
"./build/Benchmark/dxexmachina_interconnect classic  -w 16 -t 4000000";"dxexmachina_interconnect";16;4000000;263930111.0;0.011699999999999999;22567952404.0;961.957;31.0;0.001;8002.0;0.341;71106039088.0;3.031;82219533332.0;1.16;170.0;0.007;14777447859.0;0.2078;30253638493.0;0.4255;23460.46922;1.006;23.321775887
"./build/Benchmark/dxexmachina_interconnect classic  -w 16 -t 4000000";"dxexmachina_interconnect";16;4000000;235099179.0;0.0104;22572574653.0;970.452;33.0;0.001;8002.0;0.344;70503666320.0;3.031;82237063752.0;1.17;169.0;0.007;14658393078.0;0.2079;30299888526.0;0.42979999999999996;23259.858689;1.006;23.118237579
"./build/Benchmark/dxexmachina_interconnect classic  -w 16 -t 4000000";"dxexmachina_interconnect";16;4000000;271660745.0;0.012;22573743344.0;960.915;33.0;0.001;8002.0;0.341;70842778981.0;3.016;82234028544.0;1.16;174.0;0.007;14636864358.0;0.2066;29954076327.0;0.4228;23491.916464;1.006;23.347284652
"./build/Benchmark/dxexmachina_interconnect classic  -w 16 -t 4000000";"dxexmachina_interconnect";16;4000000;255259078.0;0.0113;22574657085.0;970.409;32.0;0.001;8002.0;0.344;70698211934.0;3.039;82234688708.0;1.16;170.0;0.007;14683129479.0;0.2077;30179844915.0;0.4269;23263.02808;1.006;23.122620905
"./build/Benchmark/dxexmachina_interconnect classic  -w 16 -t 4000000";"dxexmachina_interconnect";16;4000000;242809801.0;0.0108;22577256213.0;960.56;32.0;0.001;8002.0;0.34;70879239992.0;3.016;82232711383.0;1.16;173.0;0.007;14937474178.0;0.2107;30601760280.0;0.43170000000000003;23504.253625;1.006;23.359470222
"./build/Benchmark/dxexmachina_interconnect classic  -w 16 -t 4000000";"dxexmachina_interconnect";16;4000000;272505714.0;0.0121;22569549344.0;956.807;76.0;0.003;8003.0;0.339;71520520323.0;3.032;82211010640.0;1.15;170.0;0.007;15070812564.0;0.2107;30405216168.0;0.4251;23588.401473;1.006;23.450576119
"./build/Benchmark/dxexmachina_interconnect classic  -w 16 -t 4000000";"dxexmachina_interconnect";16;4000000;263736532.0;0.011699999999999999;22565838995.0;963.053;35.0;0.001;8002.0;0.342;71213929252.0;3.039;82197405061.0;1.15;174.0;0.007;15006494983.0;0.2107;30550991444.0;0.429;23431.569153;1.006;23.293110643
"./build/Benchmark/dxexmachina_interconnect classic  -w 16 -t 4000000";"dxexmachina_interconnect";16;4000000;240934803.0;0.010700000000000001;22571766384.0;967.174;32.0;0.001;8004.0;0.343;70721592261.0;3.03;82219821328.0;1.16;173.0;0.007;14741769728.0;0.2084;30412404711.0;0.43;23337.848826;1.006;23.199682557
"./build/Benchmark/dxexmachina_interconnect classic  -w 16 -t 4000000";"dxexmachina_interconnect";16;4000000;234923591.0;0.0104;22569796029.0;960.902;39.0;0.002;8008.0;0.341;70535289353.0;3.003;82214628440.0;1.17;170.0;0.007;14611177810.0;0.2071;30274062533.0;0.4292;23488.134589;1.006;23.34796571
"./build/Benchmark/dxexmachina_interconnect classic  -w 16 -t 4000000";"dxexmachina_interconnect";16;4000000;250914848.0;0.0111;22572839978.0;958.433;41.0;0.002;8003.0;0.34;71730511163.0;3.046;82238210896.0;1.15;173.0;0.007;15043011756.0;0.2097;30266718863.0;0.42200000000000004;23551.828328;1.006;23.412513641
"./build/Benchmark/dxexmachina_interconnect classic  -w 16 -t 4000000";"dxexmachina_interconnect";16;4000000;250557119.0;0.0111;22568496260.0;971.119;148.0;0.006;8004.0;0.344;70608403354.0;3.038;82211762637.0;1.16;172.0;0.007;14483980286.0;0.2051;30062639698.0;0.42579999999999996;23239.67559;1.006;23.102498354
"./build/Benchmark/dxexmachina_interconnect classic  -w 16 -t 4000000";"dxexmachina_interconnect";16;4000000;242928543.0;0.0108;22569565491.0;968.321;33.0;0.001;8004.0;0.343;70839275370.0;3.039;82215452077.0;1.16;170.0;0.007;14756758082.0;0.20829999999999999;30329105812.0;0.42810000000000004;23307.935669;1.006;23.171586284
"./build/Benchmark/dxexmachina_interconnect classic  -w 16 -t 4000000";"dxexmachina_interconnect";16;4000000;241574951.0;0.010700000000000001;22570793475.0;971.823;32.0;0.001;8002.0;0.345;70586361947.0;3.039;82211484047.0;1.16;173.0;0.007;14672398147.0;0.2079;30290607257.0;0.4291;23225.217325;1.006;23.089284423
"./build/Benchmark/dxexmachina_interconnect classic  -w 16 -t 4000000";"dxexmachina_interconnect";16;4000000;240398317.0;0.010700000000000001;22570066627.0;966.527;34.0;0.001;8002.0;0.343;70953743673.0;3.038;82221218708.0;1.16;172.0;0.007;14821568511.0;0.2089;30421344891.0;0.42869999999999997;23351.728153;1.006;23.214476004
"./build/Benchmark/dxexmachina_interconnect classic  -w 16 -t 4000000";"dxexmachina_interconnect";16;4000000;248269477.0;0.011000000000000001;22571507179.0;965.111;33.0;0.001;8003.0;0.342;71102287967.0;3.04;82236443767.0;1.16;173.0;0.007;14706025907.0;0.20679999999999998;30361882391.0;0.42700000000000005;23387.467902;1.006;23.248913564
"./build/Benchmark/dxexmachina_interconnect classic  -w 16 -t 4000000";"dxexmachina_interconnect";16;4000000;240705048.0;0.010700000000000001;22573162243.0;972.367;31.0;0.001;8002.0;0.345;70555225494.0;3.039;82233071462.0;1.17;172.0;0.007;14680820877.0;0.20809999999999998;30255214214.0;0.4288;23214.646812;1.006;23.075903902
"./build/Benchmark/dxexmachina_interconnect classic  -w 16 -t 4000000";"dxexmachina_interconnect";16;4000000;235801912.0;0.0104;22574460376.0;967.942;33.0;0.001;8002.0;0.343;70818288709.0;3.037;82246050013.0;1.16;173.0;0.007;14856214815.0;0.20980000000000001;30546103265.0;0.4313;23322.125723;1.006;23.17947488
"./build/Benchmark/dxexmachina_interconnect classic  -w 16 -t 4000000";"dxexmachina_interconnect";16;4000000;242222749.0;0.010700000000000001;22573515763.0;972.573;35.0;0.002;8002.0;0.345;70499742655.0;3.037;82236289803.0;1.17;171.0;0.007;14546770471.0;0.20629999999999998;30034516006.0;0.426;23210.101053;1.006;23.068736713
"./build/Benchmark/dxexmachina_interconnect classic  -w 16 -t 4000000";"dxexmachina_interconnect";16;4000000;237052691.0;0.0105;22572345187.0;971.141;32.0;0.001;8002.0;0.344;70640041957.0;3.039;82218710014.0;1.16;173.0;0.007;14758116997.0;0.2089;30329550018.0;0.4294;23243.12281;1.006;23.104382393
"./build/Benchmark/dxexmachina_interconnect classic  -w 16 -t 4000000";"dxexmachina_interconnect";16;4000000;235806754.0;0.0104;22570870597.0;960.347;32.0;0.001;8002.0;0.34;70823491128.0;3.013;82222255262.0;1.16;172.0;0.007;14840092886.0;0.2095;30504474634.0;0.4307;23502.828573;1.006;23.359584513
"./build/Benchmark/dxexmachina_interconnect classic  -w 16 -t 4000000";"dxexmachina_interconnect";16;4000000;233940451.0;0.0104;22567531700.0;963.242;33.0;0.001;8002.0;0.342;70526468170.0;3.01;82192926578.0;1.17;173.0;0.007;14725969899.0;0.20879999999999999;30367219818.0;0.43060000000000004;23428.72976;1.006;23.286195867
"./build/Benchmark/dxexmachina_interconnect classic  -w 16 -t 4000000";"dxexmachina_interconnect";16;4000000;245966214.0;0.0109;22570485352.0;967.358;33.0;0.001;8003.0;0.343;70820317527.0;3.035;82227992025.0;1.16;172.0;0.007;14868019820.0;0.20989999999999998;30353300022.0;0.4286;23332.102665;1.006;23.192109272
"./build/Benchmark/dxexmachina_interconnect classic  -w 16 -t 4000000";"dxexmachina_interconnect";16;4000000;235587725.0;0.0104;22568559827.0;966.116;72.0;0.003;8005.0;0.343;70487624647.0;3.017;82211146372.0;1.17;174.0;0.007;14666822735.0;0.20809999999999998;30248716024.0;0.4291;23360.091399;1.005;23.235452771
"./build/Benchmark/dxexmachina_interconnect classic  -w 16 -t 4000000";"dxexmachina_interconnect";16;4000000;259556450.0;0.0115;22568944099.0;967.577;33.0;0.001;8002.0;0.343;70937517217.0;3.041;82216310327.0;1.16;170.0;0.007;14658245298.0;0.2066;30142865892.0;0.4249;23325.229071;1.006;23.186978766
